expected_class,global_id,target_x_mm,target_y_mm,target_z_mm,anchor_kind,basis,confidence
IfcBuildingElementProxy,0w_j3LiLHFX8uK$fI3H5IP,-300,-4400,2400,integer-point-on-physical-axis-edge,Cabinet Drop Ceiling 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,1_eTV3TaD0ewHXs5A2gCk0,-3300,3400,2400,integer-point-on-physical-axis-edge,LED Curtain Sub 2 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,0goB22sEf0W9caxUqAkTwJ,1400,-5200,2400,integer-point-on-physical-axis-edge,Kitchen Drop Ceiling 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,3$lrsbcgT3Jg4KFoQ9xsL_,-1600,-4800,2400,integer-point-on-physical-axis-edge,LED Curtain Sub1 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,2HNrakrjbCTuX3CgB2ORBO,-6360,-4400,2740,integer-point-on-physical-axis-edge,Bedroom Ceiling 现有物理轴向边上的 20 mm Grid 点,0.99
IfcBuildingElementProxy,24GcPrcEPB0QT3HxbcvPtq,1900,3400,2720,integer-point-on-physical-axis-edge,Balcony Drop Ceiling 现有物理轴向边上的 20 mm Grid 点,0.99
IfcBuildingElementProxy,3Kxq1aQl9EyfzEhA_7IoLA,-6400,-1200,2600,integer-point-on-physical-axis-edge,Alley Ceiling 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,2B9gGJ5197jvvwqUj7h8_U,-3100,-1200,2400,integer-point-on-physical-axis-edge,Dining Ceiling 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,1wtOLxfnP3ZfqIIkLZaTFU,-4640,800,2720,integer-point-on-physical-axis-edge,Guest Bedroom Ceiling 现有物理轴向边上的 20 mm Grid 点,0.99
IfcBuildingElementProxy,30YXVJrQjBEgTfH5xSTneR,-1100,0,2400,integer-point-on-physical-axis-edge,Powder Ceiling 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,26M2TYddDFzeD98_XKwBgZ,-4900,-4800,2400,integer-point-on-physical-axis-edge,LED Curtain Main 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,0JcqcpduD9YRHOQJ2Q92gO,2875,2960,2690,integer-point-on-physical-axis-edge,Living Room Drop Ceiling 现有物理轴向边上的整数毫米点；未虚构更高模度锚点,0.95
IfcBuildingElementProxy,2PT3O6ohvAxPR570xBmdX6,-4600,200,2400,integer-point-on-physical-axis-edge,Guest Bedroom Low Ceiling 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,0jI$MQCH9A_w5aml5rEXbg,-1600,3200,2400,integer-point-on-physical-axis-edge,Public Bathroom Ceiling 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,3BNIc86L19ZBCt40wmF$KZ,-5700,3200,2400,integer-point-on-physical-axis-edge,Private Bathroom Ceiling 现有物理轴向边上的 100 mm Grid 点,0.99
