record_kind,queue_id,global_id,ifc_class,name,description,object_type,predefined_type,type_global_id,type_name,type_description,type_occurrence_count,container,observable_role,bbox_min_mm,bbox_max_mm,dimensions_mm,basis,confidence,human_review_required,review_status,missing_or_unverified,stop_condition,source_ifc_sha256
actual_instance,M401-EQUIP-001,1yW7DASIz8qA$2j8z9tdl2,IfcElectricAppliance,ElectricAppliance,,,,0greWYU5v9BBjuI$1v0flf,AC1180,RPIZ-71FSLN5Q/P 1180x447x192,1,CEL,assigned_ac_equipment_instance,"[5970.46294,1453.457611,2508.0]","[6448.287037,2781.229401,2700.0]","[477.824097,1327.77179,192.0]",Assigned IfcElectricApplianceType has ElementType=AC and preserves the exact model/type identity.,1.0,yes,HUMAN_REVIEW_REQUIRED,"final equipment selection, manufacturer installation data, performance, services, controls and access","Do not infer airflow, circuit, pipe/duct connection, access or final equipment selection from the current shell.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-EQUIP-001,1QBdVekDnBsOleyo9PM6rT,IfcElectricAppliance,ElectricAppliance,,,,10_Arew0nAGOoYjFDTyzcn,AC700F,RPIZ-22FSLN5QDF/P 700x447x192,2,CEL,assigned_ac_equipment_instance,"[-2724.19537,-1144.200912,2523.018749]","[-1876.420345,-666.376511,2715.018749]","[847.775024,477.824402,192.0]",Assigned IfcElectricApplianceType has ElementType=AC and preserves the exact model/type identity.,1.0,yes,HUMAN_REVIEW_REQUIRED,"final equipment selection, manufacturer installation data, performance, services, controls and access","Do not infer airflow, circuit, pipe/duct connection, access or final equipment selection from the current shell.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-EQUIP-001,33chLv3TzEOhKalIJJAPNF,IfcElectricAppliance,ElectricAppliance,,,,2dvNw761v4cgkv5QvrQtre,AC700,RPIZ-22FSLN5QD/P 700x447x192,2,CEL,assigned_ac_equipment_instance,"[-4397.316963,-1144.200775,2524.518536]","[-3549.547188,-666.376648,2716.518531]","[847.769775,477.824127,191.999996]",Assigned IfcElectricApplianceType has ElementType=AC and preserves the exact model/type identity.,1.0,yes,HUMAN_REVIEW_REQUIRED,"final equipment selection, manufacturer installation data, performance, services, controls and access","Do not infer airflow, circuit, pipe/duct connection, access or final equipment selection from the current shell.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-EQUIP-001,06GpMzzWj1XQobAhD35cgU,IfcElectricAppliance,ElectricAppliance,,,,10_Arew0nAGOoYjFDTyzcn,AC700F,RPIZ-22FSLN5QDF/P 700x447x192,2,CEL,assigned_ac_equipment_instance,"[-3042.190466,247.999111,2510.0]","[-2194.415442,725.823513,2702.0]","[847.775024,477.824402,192.0]",Assigned IfcElectricApplianceType has ElementType=AC and preserves the exact model/type identity.,1.0,yes,HUMAN_REVIEW_REQUIRED,"final equipment selection, manufacturer installation data, performance, services, controls and access","Do not infer airflow, circuit, pipe/duct connection, access or final equipment selection from the current shell.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-EQUIP-001,1PUCikoaP5fgiYt8sJd8$6,IfcElectricAppliance,ElectricAppliance,,,,2dvNw761v4cgkv5QvrQtre,AC700,RPIZ-22FSLN5QD/P 700x447x192,2,CEL,assigned_ac_equipment_instance,"[2645.087936,-3206.884888,2475.000004]","[3122.912064,-2359.115112,2667.0]","[477.824127,847.769775,191.999996]",Assigned IfcElectricApplianceType has ElementType=AC and preserves the exact model/type identity.,1.0,yes,HUMAN_REVIEW_REQUIRED,"final equipment selection, manufacturer installation data, performance, services, controls and access","Do not infer airflow, circuit, pipe/duct connection, access or final equipment selection from the current shell.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-FLOW-001,0hHnbLj0X4jPDz4o3QJo1l,IfcPipeSegment,Liquid,,HVAC,USERDEFINED,,,,,CEL,legacy_base_refrigerant_liquid_geometry,"[-3553.579926,-3675.988602,2471.018253]","[2733.325871,-377.988602,2806.746181]","[6286.905796,3298.0,335.727928]",用户确认该对象在旧方案中表达冷媒液管，但紫色几何不是装修后最终管线；旧 lowpoly 与正式 IFC 的 3 个独立分支及组件包围尺寸在 0.0153 mm 内一致.,1.0,yes,LEGACY_BASE_CONFIRMED_REMODEL_DESIGN_PENDING,"diameter, insulation, system membership, ports, connections, route ownership and installer clearances",Treat this as a legacy design base only; redesign the remodel route before claiming a connected or installable system.,7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-FLOW-001,10Wm8ivdX7dAVfz4cV8l5Q,IfcPipeSegment,Drain Pipe,,HVAC,USERDEFINED,,,,,CEL,legacy_base_condensate_geometry,"[-3549.725922,-3515.988435,2461.018272]","[6504.2304,1748.011565,2766.499592]","[10053.956322,5264.0,305.481319]",用户确认该对象在旧方案中表达冷凝水管，但紫色几何不是装修后最终管线；旧 lowpoly 与正式 IFC 的 4 个独立分支及组件包围尺寸在 0.0008 mm 内一致.,1.0,yes,LEGACY_BASE_CONFIRMED_REMODEL_DESIGN_PENDING,"diameter, slope, discharge destination, system membership, ports, connections and access",Treat this as a legacy design base only; redesign the remodel route before claiming drainage continuity or an installable route.,7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-FLOW-001,0Ik2RcgGbFOhdYTJPgh5AQ,IfcPipeSegment,Liquid Living Room,,HVAC,USERDEFINED,,,,,CEL,legacy_base_refrigerant_liquid_geometry,"[2769.873634,-3561.34937,2441.03508]","[6306.073299,1748.01147,2777.360069]","[3536.199665,5309.36084,336.324989]",用户确认该对象在旧方案中表达冷媒液管，但不是装修后最终管线；旧 lowpoly 与正式 IFC 的单一分支组件包围尺寸在 0.001 mm 内一致.,1.0,yes,LEGACY_BASE_CONFIRMED_REMODEL_DESIGN_PENDING,"diameter, insulation, system membership, ports, connections, route ownership and installer clearances",Treat this as a legacy design base only; redesign the remodel route before claiming a connected or installable system.,7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-FLOW-001,1hZRB0eOX8OA8rcjke67P0,IfcPipeSegment,Gas,,HVAC,USERDEFINED,,,,,CEL,legacy_base_refrigerant_gas_geometry,"[-3553.578892,-5552.286587,2514.018253]","[2693.090054,-381.522781,2801.574986]","[6246.668945,5170.763806,287.556732]",用户确认该对象在旧方案中表达冷媒气管，但紫色几何不是装修后最终管线；旧 lowpoly 与正式 IFC 的 3 个独立分支及组件包围尺寸在 0.0077 mm 内一致.,1.0,yes,LEGACY_BASE_CONFIRMED_REMODEL_DESIGN_PENDING,"diameter, insulation, system membership, ports, connections, route ownership and installer clearances",Treat this as a legacy design base only; redesign the remodel route before claiming a connected or installable system.,7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-FLOW-001,0f2ZLauDH8lRnYj6oervDm,IfcPipeSegment,Gas Living Room,,HVAC,USERDEFINED,,,,,CEL,legacy_base_refrigerant_gas_geometry,"[2793.11338,-5552.843999,2514.376835]","[6302.73173,1747.948538,2752.535656]","[3509.618349,7300.792537,238.158821]",用户确认该对象在旧方案中表达冷媒气管，但不是装修后最终管线；旧 lowpoly 与正式 IFC 的单一分支组件包围尺寸在 0.001 mm 内一致.,1.0,yes,LEGACY_BASE_CONFIRMED_REMODEL_DESIGN_PENDING,"diameter, insulation, system membership, ports, connections, route ownership and installer clearances",Treat this as a legacy design base only; redesign the remodel route before claiming a connected or installable system.,7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-VALVE-001,1faflkXXH6M9cnYPE9Liir,IfcBuildingElementProxy,Electric flue check valve,,,COMPLEX,,,,,ELEC,named_flue_check_valve_proxy,"[2740.182898,-5245.933605,2560.0]","[2987.683021,-5005.933599,2770.0]","[247.500123,240.000006,210.0]",Exact IfcBuildingElementProxy name is Electric flue check valve; existing Boolean-sensitive geometry is observable.,0.9,yes,HUMAN_REVIEW_REQUIRED,"served exhaust, product specification, power/control, connection and access conditions","Do not infer the served appliance, duct connection, powered action or access requirement from proximity or proxy shape.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-DIFFUSER-001,16Ey9Flj9BK9VRun$ozzjH,IfcBuildingElementProxy,AC Diffuser Embeded L Corner,,,PARTIAL,,,,,DCL,named_embedded_ac_diffuser_proxy,"[5760.17952,349.953299,2500.0]","[6370.17952,2969.953299,2650.0]","[610.0,2620.0,150.0]",用户在 Blender 集中审图中确认该 Proxy 是转角空调风口；正式 IFC 仍无 IfcAirTerminal 类型、系统、端口或风量.,1.0,yes,IDENTITY_CONFIRMED_REMODEL_DESIGN_PENDING,"supply/return/exhaust role, grille selection, airflow, connection, installation and access","Retain the confirmed outlet identity, but do not convert the proxy to a terminal or publish it until the remodel air-side design is complete.",7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
actual_instance,M401-DIFFUSER-001,3Bv_Kl3jDC5RvaUMdyge1U,IfcBuildingElementProxy,AC Diffuser Embeded,,,PARTIAL,,,,,DCL,named_embedded_ac_diffuser_proxy,"[2540.179491,-3300.0,2500.0]","[2567.179491,-1400.0,2650.0]","[27.0,1900.0,150.0]",用户确认该 Proxy 是旧方案空调出风口，同时明确该方案有缺陷；正式 IFC 仍无 IfcAirTerminal、系统、端口或风量.,1.0,yes,LEGACY_SCHEME_CONFIRMED_REDESIGN_REQUIRED,"remodel supply-air design, airflow, grille size, centreline, connection, installation and access",Retain only as a legacy design base; do not publish the current proxy as the remodel supply outlet.,7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81
