expected_class,global_id,target_x_mm,target_y_mm,target_z_mm,anchor_kind,basis,confidence
IfcBeam,1u$4fbgXP7VQ1Yhr_1xQgF,0,-3700,3000,top-face-grid-intersection,受 Boolean clipping 截短的梁在实际 Body 顶面选择 100 mm Grid 交点；不再使用落在裁剪体外的 Axis 起点,0.99
IfcBeam,3TgmIjIGn3iQ$9DMvqDWoV,-4900,2600,3000,top-face-grid-intersection,目标点位于现有梁顶面且采用 100 mm Grid；只重设原点以保留两侧楼板接触,0.99
IfcBeam,06yVJMA5z1fhZE243pPlI8,-5000,100,3000,top-face-grid-intersection,目标点位于现有梁顶面内部且采用 100 mm Grid；只重设原点以保留相邻楼板接触,0.99
IfcSlab,3ZKyTiBc1ECxQi0UR8K1Ke,-6500,-2200,3000,integer-point-on-physical-axis-edge,现有 RFL Slab 物理轴向边上的 100 mm Grid 点,0.99
IfcSlab,2vTSinfYHC$8prkGP7LD7X,-100,2400,0,integer-point-on-physical-axis-edge,现有 FFL Slab 物理轴向边上的 100 mm Grid 点,0.99
IfcSlab,0wbKH$_Qr2_A4hpKs0PLXw,-3200,-3700,0,integer-point-on-physical-axis-edge,现有 FFL Slab 物理轴向边上的 100 mm Grid 点,0.99
IfcSlab,1fAJA2jj59uhEyVVcR7EM7,1900,4700,-100,integer-point-on-physical-axis-edge,现有 FFL Slab 物理轴向边上的 100 mm Grid 点,0.99
IfcSlab,1cmuG50mj3cggtIH5tZHic,3300,3200,0,integer-point-on-physical-axis-edge,现有 FFL Slab 物理轴向边上的 100 mm Grid 点,0.99
IfcSlab,02eX$Z5WrDuuxw1IlnwVss,-3300,3200,0,integer-point-on-physical-axis-edge,现有 FFL Slab 物理轴向边上的 100 mm Grid 点,0.99
IfcSlab,0G_rbqpMHE28Txkf09jW3_,-3000,-4500,0,integer-point-on-physical-axis-edge,现有 FFL Slab 物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,0w_j3LiLHFX8uK$fI3H5IP,-300,-4400,2400,integer-point-on-physical-axis-edge,Cabinet Drop Ceiling 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,1_eTV3TaD0ewHXs5A2gCk0,-3300,3400,2400,integer-point-on-physical-axis-edge,LED Curtain Sub 2 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,0goB22sEf0W9caxUqAkTwJ,1400,-5200,2400,integer-point-on-physical-axis-edge,Kitchen Drop Ceiling 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,3$lrsbcgT3Jg4KFoQ9xsL_,-1600,-4800,2400,integer-point-on-physical-axis-edge,LED Curtain Sub1 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,2HNrakrjbCTuX3CgB2ORBO,-6360,-4400,2740,integer-point-on-physical-axis-edge,Bedroom Ceiling 现有物理轴向边上的 20 mm Grid 点,0.99
IfcBuildingElementProxy,24GcPrcEPB0QT3HxbcvPtq,1900,3400,2720,integer-point-on-physical-axis-edge,Balcony Drop Ceiling 现有物理轴向边上的 20 mm Grid 点,0.99
IfcBuildingElementProxy,3Kxq1aQl9EyfzEhA_7IoLA,-6400,-1200,2600,integer-point-on-physical-axis-edge,Alley Ceiling 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,2B9gGJ5197jvvwqUj7h8_U,-3100,-1200,2400,integer-point-on-physical-axis-edge,Dining Ceiling 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,1wtOLxfnP3ZfqIIkLZaTFU,-4640,800,2720,integer-point-on-physical-axis-edge,Guest Bedroom Ceiling 现有物理轴向边上的 20 mm Grid 点,0.99
IfcBuildingElementProxy,30YXVJrQjBEgTfH5xSTneR,-1100,0,2400,integer-point-on-physical-axis-edge,Powder Ceiling 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,26M2TYddDFzeD98_XKwBgZ,-4900,-4800,2400,integer-point-on-physical-axis-edge,LED Curtain Main 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,0JcqcpduD9YRHOQJ2Q92gO,2875,2960,2690,integer-point-on-physical-axis-edge,Living Room Drop Ceiling 现有物理轴向边上的整数毫米点；未虚构更高模度锚点,0.95
IfcBuildingElementProxy,2PT3O6ohvAxPR570xBmdX6,-4600,200,2400,integer-point-on-physical-axis-edge,Guest Bedroom Low Ceiling 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,0jI$MQCH9A_w5aml5rEXbg,-1600,3200,2400,integer-point-on-physical-axis-edge,Public Bathroom Ceiling 现有物理轴向边上的 100 mm Grid 点,0.99
IfcBuildingElementProxy,3BNIc86L19ZBCt40wmF$KZ,-5700,3200,2400,integer-point-on-physical-axis-edge,Private Bathroom Ceiling 现有物理轴向边上的 100 mm Grid 点,0.99
