requirement_id,equipment_id,discipline,parameter_key,value_text,value_number,unit,datum,value_origin,status,source_id,source_locator,blocks_release,notes
REQ-0001,APP-001,ELEC,rated_power,,,W,,user_input,pending,,,no,产品额定功率保持 unknown；相关支路已用端口上限或候选最不利值闭合粗装，不将设计值写成产品名牌值。
REQ-0002,APP-001,ELEC,simultaneous_group,NS01-A,,,,user_input,confirmed,,,no,
REQ-0003,APP-001,PLUM,water_required,no,,,,user_input,confirmed,,,no,
REQ-0004,APP-001,PLUM,drain_required,no,,,,user_input,confirmed,,,no,
REQ-0005,APP-001,GAS,gas_required,no,,,,user_input,confirmed,,,no,
REQ-0006,APP-001,HVAC,ventilation_required,no,,,,user_input,confirmed,,,no,
REQ-0007,APP-002,ELEC,rated_power,,,W,,user_input,pending,,,no,产品额定功率保持 unknown；相关支路已用端口上限或候选最不利值闭合粗装，不将设计值写成产品名牌值。
REQ-0008,APP-002,ELEC,simultaneous_group,NS01-B,,,,user_input,confirmed,,,no,
REQ-0009,APP-002,PLUM,water_required,no,,,,user_input,confirmed,,,no,
REQ-0010,APP-002,PLUM,drain_required,no,,,,user_input,confirmed,,,no,
REQ-0011,APP-002,GAS,gas_required,no,,,,user_input,confirmed,,,no,
REQ-0012,APP-002,HVAC,ventilation_required,no,,,,user_input,confirmed,,,no,
REQ-0013,APP-003,ELEC,rated_power,,,W,,user_input,pending,,,no,产品额定功率保持 unknown；相关支路已用端口上限或候选最不利值闭合粗装，不将设计值写成产品名牌值。
REQ-0014,APP-003,ELEC,simultaneous_group,NS01-B,,,,user_input,confirmed,,,no,
REQ-0015,APP-003,PLUM,water_required,no,,,,user_input,confirmed,,,no,
REQ-0016,APP-003,PLUM,drain_required,no,,,,user_input,confirmed,,,no,
REQ-0017,APP-003,GAS,gas_required,no,,,,user_input,confirmed,,,no,
REQ-0018,APP-003,HVAC,ventilation_required,no,,,,user_input,confirmed,,,no,
REQ-0019,APP-004,ELEC,rated_power,,,W,,user_input,pending,,,no,产品额定功率保持 unknown；相关支路已用端口上限或候选最不利值闭合粗装，不将设计值写成产品名牌值。
REQ-0020,APP-004,ELEC,simultaneous_group,NS02-A,,,,user_input,confirmed,,,no,
REQ-0021,APP-004,PLUM,water_required,model_dependent,,,,user_input,pending,,,yes,
REQ-0022,APP-004,PLUM,drain_required,model_dependent,,,,user_input,pending,,,yes,
REQ-0023,APP-004,GAS,gas_required,no,,,,user_input,confirmed,,,no,
REQ-0024,APP-004,HVAC,ventilation_required,no,,,,user_input,confirmed,,,no,
REQ-0025,APP-005,ELEC,rated_power,,1200,W,,user_input,confirmed,OWNER-INBOX-20260814-001,,no,业主提供；准确 Hario 型号和铭牌待补。
REQ-0026,APP-005,ELEC,simultaneous_group,NS02-A,,,,user_input,confirmed,,,no,
REQ-0027,APP-005,PLUM,water_required,no,,,,user_input,confirmed,,,no,
