selector_kind,selector_value,installation_role,basis,confidence,human_review_required,status
type_name,BD600DW,fixed_furniture,类型与 VVD 中 600×767×888 mm 几何共同识别为岛台固定柜体单元,0.99,no,implemented
type_name,BD600P,fixed_furniture,类型与 VVD 中 600×767×693 mm 几何共同识别为岛台固定柜体单元,0.99,no,implemented
type_name,BN1200,fixed_furniture,类型与 KITCHEN 中 617×1200×888 mm 几何共同识别为固定地柜,0.99,no,implemented
type_name,BN450,fixed_furniture,类型与 KITCHEN 中 617×450×888 mm 几何共同识别为固定地柜,0.99,no,implemented
type_name,BN900,fixed_furniture,类型与 KITCHEN 中 617×900×888 mm 几何共同识别为固定地柜,0.99,no,implemented
type_name,BNW900C,fixed_furniture,类型与 KITCHEN 中 1100×750×888 mm 几何共同识别为固定转角柜单元,0.99,no,implemented
type_name,BS1200P,fixed_furniture,类型与 VVD 中 1200×331×693 mm 几何共同识别为岛台固定柜体单元,0.99,no,implemented
type_name,BW1200,fixed_furniture,类型与 KITCHEN 中 1200×717×888 mm 几何共同识别为固定地柜,0.99,no,implemented
type_name,BW450,fixed_furniture,类型与 KITCHEN 中 450×717×888 mm 几何共同识别为固定地柜,0.99,no,implemented
type_name,BW900,fixed_furniture,类型与 KITCHEN 中 900×717×888 mm 几何共同识别为固定地柜,0.99,no,implemented
type_name,CAB-A,fixed_furniture,类型与 VVD 中 617×600×2383 mm 全高几何共同识别为固定高柜,0.99,no,implemented
type_name,D600P,fixed_furniture,类型与 VVD 中 600×19×587 mm 薄板几何共同识别为固定柜门板,0.99,no,implemented
type_name,FRE01,fixed_furniture,类型、VVD 容器与 617×600×1523 mm 柜体包络共同证明安装位置受控,0.99,no,implemented
type_name,FRE02,fixed_furniture,类型、VVD 容器与 617×600×860 mm 柜体包络共同证明安装位置受控,0.99,no,implemented
type_name,FRI01,fixed_furniture,类型、VVD 容器与 617×600×1523 mm 柜体包络共同证明安装位置受控,0.99,no,implemented
type_name,FRI02,fixed_furniture,类型、VVD 容器与 617×600×860 mm 柜体包络共同证明安装位置受控,0.99,no,implemented
type_name,GP01,fixed_furniture,类型、NBW 容器与 670×30×2365 mm 全高薄板几何共同识别为固定板件,0.99,no,implemented
type_name,GP01S,fixed_furniture,类型、NBW 容器与 520×100×2400 mm 全高几何共同识别为固定板件,0.99,no,implemented
type_name,H08,fixed_furniture,用户确认 H08 为柜子把手并固定安装,1.00,no,implemented
type_name,H09,fixed_furniture,与已确认 H08 同系列且具有相同 55×48×2323 mm 柜门把手几何,0.99,no,implemented
type_name,HC01,fixed_furniture,类型、KITCHEN 容器与 47×47×50 mm 五金几何共同识别为固定柜体五金,0.99,no,implemented
type_name,HC02,fixed_furniture,类型、KITCHEN 容器与 78×80×50 mm 五金几何共同识别为固定柜体五金,0.99,no,implemented
type_name,HD1200,fixed_furniture,类型、KITCHEN 容器与 1200×47×50 mm 条状几何共同识别为固定柜体五金,0.99,no,implemented
type_name,HD450,fixed_furniture,类型、KITCHEN 容器与 450×47×50 mm 条状几何共同识别为固定柜体五金,0.99,no,implemented
type_name,HD600,fixed_furniture,类型、KITCHEN 容器与 600×47×50 mm 条状几何共同识别为固定柜体五金,0.99,no,implemented
