evidence_id,discipline,sheet_id,decision_scope,source_kind,source_document,source_sha256,source_locator,evidence,proves,does_not_prove,status,confidence,review_required,formal_ifc_write_allowed,notes
E304-CAD-001,ELEC,E-304,弱电箱所在家具,official_dwg,01 成品房(D1户型-115)平面系统图.dwg,ba355f6a90732ad07f843d59e8bab5e1da9daffe7aed74889d1d265b2ce22d7e,通用说明；验证转换DXF BLOCK A$C5B8D7635 / TEXT #2598C0,强电箱、弱电箱配置于过道高柜内，见机电综合点位图,强弱电箱位于过道高柜,路由器产品与安装高度及柜内层位,verified_official_source,1.00,no,no,原始DWG哈希固定；文字实体由验证转换DXF机械读取
E304-CAD-002,ELEC,E-304,弱电箱平面柜格及安装基准,verified_dwg_conversion,d1-handover-plan.dxf,706483de83d90e526d7d7cf4f0b097902a4f97868c16aba5f6fac9d9e942f0f0,E-2弱电平面图；VIEWPORT #224238；LEADER #224271；TEXT #224270/#224295；柜体 #22017E/#220182,"引线落点换算为IFC XY约(4600.016,-735.369)mm；弱电箱底边H+350mm；箱内预留五孔插座",弱电箱所在右侧高柜柜格和平面坐标及弱电箱底边基准,路由器自身Z和供电数据端口散热检修条件,verified_conversion_evidence,1.00,no,no,纸空间经50倍视口与Grid偏移机械换算；H+350不得当作路由器高度
E304-USER-001,ELEC,E-304,客厅书房共享路由器位置,user_confirmation,Codex task 2026-08-10,not_applicable_user_confirmation,用户本轮明确“Router 得放门口的柜子里头”,共享路由器放入户玄关/过道高柜的弱电箱柜位,用户对柜位的设计确认,具体产品Z层板散热检修供电通信及弱电拓扑,position_confirmed_details_pending,1.00,yes,no,服务客厅与书房开放空间；主卧次卧仍各设有线回程AP
E304-PHOTO-001,ELEC,E-304,弱电箱外观及所在柜格,user_site_photo,drawings/evidence/E304-entry-cabinet-weak-current-box-closed.jpg,5f428bf20247e8a131ac4315e1f0c3958ab0e0e2823966f96cd7d80f4e1df938,弱电箱关闭状态近景；用户确认白色箱体为弱电箱,白色带面板散热孔箱体安装在玄关高柜右下柜格且柜格前方有独立层板,弱电箱外观、右下柜格位置及前方独立层板的现状关系,弱电箱内部设备身份、端口数量、柜体尺寸及路由器最终层位,verified_user_photo,1.00,no,no,原始960×1280 JPEG按字节固化；无比例尺不得据图量取施工尺寸
APP-DW-SPEC-001,ELEC,E-303,APP-009/APP-010 洗碗机候选型号与额定负荷,official_product_spec,drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-specsheet.pdf,32adbf767fc50dba3dcd4932b3d05b644ac3ae70dc3731f2935a2234553e22d4,p.1,Siemens SJ85ZX26MC；全嵌式 60 cm；2000 W；220 V；10 A；产品 775×598×550 mm；柜孔 H780–835×W600–608×D≥550 mm,候选型号的官方存在性、额定负荷及设备/柜孔包络,两台是否最终采购同型号、完整 E-Nr./FD、现场回路和安装点,verified_official_source,1.00,yes,no,两台仍为未采购候选；不得升级为已购或到货产品
APP-DW-INSTALL-001,ELEC/PLUM/INT1,E-303/P-201/I-501,APP-009/APP-010 洗碗机柜体门板与给排水接口,official_installation_manual,drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-installation-9002067344_A.pdf,9abc6dfb936e7ea6ed729bdd775bd03a5e0ad0d0740322c05b20be184be49765,p.1–2,柜孔 H780–835×W600–608×D≥550 mm；管线孔≥100×50 mm；门板 W594、厚≤20 mm、重3.5–8.5 kg；进水 G3/4；排水接管 Ø38 mm且图示最低280 mm；0.05–1 MPa；≥10 L/min；冷水≤25°C,洗碗机柜孔、门板、进排水和管线孔的官方施工约束,实际门板高度与踢脚 c/d 套算、现场阀门/支管/软管路径、两机位侧板固定条件,verified_official_source,1.00,yes,no,c/d 仅能按官方图定义由橱柜深化套算；不得当作通用踢脚退距
APP-DW-MANUAL-001,ELEC/PLUM,E-303/P-201,APP-009/APP-010 洗碗机供电供水与检修条件,official_user_manual,drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-user-manual-9002057324_C.pdf,be25d46f970dd1b8c570c44d0c57ca06000118d0d358f607cc6ed95b6ed49d90,p.3–4、p.8、p.31–32,220 V/50 Hz；2000 W；官方保护范围10–16 A；插头须可操作或固定线路设断开装置；禁用延长线/排插；冷水≤25°C；台面下安装固定橱柜两侧,供电容量、断开可达性、供水范围及侧向固定要求,现场断路器/RCD/插座位置、是否最终采购、专用通风孔面积,verified_official_source,1.00,yes,no,说明书支持设备可抽出检修的设计推论；未给出专用柜体通风孔尺寸
E304-PHOTO-002,ELEC,E-304,强弱电箱柜内竖向关系,user_site_photo,drawings/evidence/E304-entry-cabinet-overview.jpg,e9d9bf64928f264d6d59a3184b791b3a92464ff8d36f5d09e651269d76c8508f,玄关高柜全景；用户确认上部透明盖箱为带空气开关的强电配电箱、下部白色箱为弱电箱,强电配电箱位于上部柜格且弱电箱位于右下柜格并由多层木质层板分隔,强弱电箱身份及柜内上下关系,柜体净深、准确标高、柜门关闭后的通风量及任何产品安装许可,verified_user_photo_with_identification,1.00,no,no,原始960×1280 JPEG按字节固化；照片支持实物关系但不替代尺寸复测
E304-PHOTO-003,ELEC,E-304,现状弱电箱内部设备与线缆,user_site_photo,drawings/evidence/E304-entry-cabinet-weak-current-box-open.jpg,3d01b1292d7620389e3920cfbd3420a3f0bb1fd77d754a0f59c48ec56dc4d384,弱电箱开启且Huawei设备尚在箱内的近景,现状箱内有一件Huawei带天线网络设备、另一白色未识别组件、电源适配器、橙色网线和盘留线缆且设备线缆空间拥挤,上述设备和线缆在弱电箱内存在且空间拥挤的现状,白色组件身份、Huawei设备准确型号角色、端口映射、线路去向、剩余容量及最终网络拓扑,verified_user_photo,1.00,yes,no,原始1280×960 JPEG按字节固化；不得仅凭商标或外观把设备认定为最终路由器、光猫或交换机
E304-PHOTO-004,ELEC,E-304,弱电箱无Huawei设备时的内部布线,user_site_photo,drawings/evidence/E304-entry-cabinet-weak-current-box-cabling.jpg,b049f4e6232ae3603a066253b9c975503b691febf73d9802b863324670180909,Huawei设备取出后的弱电箱全景,弱电箱内保留电源、黑色穿线管、盘留的灰白及黄色线缆、橙色网线和一件白色未识别组件且箱下方已有线缆出箱条件,箱内盘留线缆、电源、穿线管、未识别组件及线缆出箱条件的现状,线缆类别与端点通断、白色组件身份、防火封堵状态和最终出线整理方案,verified_user_photo,1.00,yes,no,原始1280×960 JPEG按字节固化；盘留弯曲半径和线路标签须现场复核
E304-PHOTO-005,ELEC,E-304,现有Huawei家庭网关与房间网线标签,user_site_photo,drawings/evidence/E304-entry-cabinet-existing-huawei-gateway.jpg,24ef14dd6871b469a74ee167302d894214b0df30cc31eb4029df2a18f4d8a41b,Huawei联通智家设备为拍摄而暂时拉出弱电箱的近景,设备具外置天线并连接电源及三根带房间文字标签的橙色网线；照片用于读取设备外观和线缆标签,设备外观、外置天线、电源连接及三根网线可见标签候选,设备日常运行位置、准确型号、是否集成光猫或路由功能、标签与实际房间端点一致性、网线类别性能和最终设备复用决定,verified_user_photo_label_candidates,0.95,yes,no,原始960×1280 JPEG按字节固化；可见标签候选为客厅、次卧、主卧，正式端口表须逐根通断测试后确认
E304-USER-002,ELEC,E-304,现有Huawei设备日常运行位置,user_confirmation,Codex task 2026-08-11,not_applicable_user_confirmation,用户纠正“但实际是放弱电箱里运行的”,现有Huawei联通智家设备日常放在金属弱电箱内部通电运行,现状设备的实际运行位置,最终网络设备是否复用现状位置以及该位置的散热射频检修信号覆盖和产品合规性,confirmed_existing_condition,1.00,no,no,PHOTO-005仅为拍摄设备与端口标签而临时拉出箱体；不得把照片扩大为箱外运行证据
APP-011-PHOTO-001,ELEC,E-303/S-701,烤箱到货型号,user_product_photo,drawings/evidence/APP-011-siemens-HB754G2B1W-package-label.jpg,85d7308bad518d6efada3d266edeeef43c7b0a874813457e78543d5d61932362,包装铭牌正面,包装标注 SIEMENS HB754G2B1W 且产地 Germany,本项目已到货烤箱的厂家与型号,包装内产品完好性、现场柜体尺寸、电源回路和安装完成状态,verified_user_product_photo,1.00,no,no,原始 JPEG 按字节固化；到货型号可冻结但安装接口仍须按官方资料和现场复核
APP-011-OFFICIAL-001,ELEC,E-303/S-701,烤箱电气及柜体接口,official_product_pdf,drawings/evidence/APP-011-siemens-HB754G2B1W-specsheet.pdf,34a426197ae82d96c94d38637aaac91487f78431e1c0ee6b6633531b83aa1526,西门子/BSH 官方 PDF https://media3.bsh-group.com/Documents/specsheet/zh-CN/HB754G2B1W.pdf；第 1 页电气参数；第 2–4 页机身及橱柜安装尺寸图,最大功率 3400W；220V/50Hz；16A 插头；机身 595×594×548 mm；柜体开口宽 560–568 mm、高 585–595 mm、深≥550 mm；进风面积≥200 cm²,烤箱配电负荷及橱柜开口和通风输入,现场回路实测、柜体施工完成尺寸和最终安装验收,verified_official_source,1.00,no,no,官方 PDF 与到货包装型号一致；施工仍须按现场条件和产品安装说明复核
APP-012-PHOTO-001,ELEC,E-303/S-701,燃气灶到货型号及铭牌,user_product_photo,drawings/evidence/APP-012-siemens-ER9EPA33MP-package-label-front.jpg,3e2d492962a979ba205e544ba1bf0b2cc4c4fd213d6ee96ba27ce98440769c5f,包装铭牌正面,包装标注 SIEMENS ER9EPA33MP/01、JZT-ER9EPA33MP、天然气 12T、2.0kPa、DC 1.5V 及左中右热负荷 5.2/2.0/5.2kW,本项目已到货燃气灶的型号、气源类别、压力、电池点火和热负荷,现场燃气表容量、管线走向、阀门位置、开孔完成尺寸和安装验收,verified_user_product_photo,1.00,no,no,原始 JPEG 按字节固化；燃气热负荷不得写入额定电功率列
APP-012-PHOTO-002,ELEC,E-303/S-701,燃气灶到货批次侧标,user_product_photo,drawings/evidence/APP-012-siemens-ER9EPA33MP-package-label-side.jpg,fcaf47980d296ae516f3d98d40026b21095d4dc1eacf105b2f01c7fba265648d,包装侧面铭牌,侧标再次显示 ER9EPA33MP 并可见生产日期 2024-04-10,到货包装型号与正面铭牌交叉一致,产品序列号完整性、包装内产品状态和现场安装条件,verified_user_product_photo,1.00,no,no,原始 JPEG 按字节固化；日期只作为到货批次辅助证据
APP-012-OFFICIAL-001,ELEC,E-303/S-701,燃气灶开孔通风及接驳,official_product_pdf,drawings/evidence/APP-012-siemens-ER9EPA33MP-installation.pdf,41aee3b28b35f5005a2f7e31fbc36ffc28e3fe3a75367b463f31bc0b65d5a96e,西门子/BSH 官方 PDF https://media3.bsh-group.cn/Documents/8001249607_B.pdf；第 4 页技术参数；第 11 页 14.2–14.8 安装与燃气连接,外形 920×500×150 mm；开孔 880×455 mm、4×R15；橱柜通风口≥100 cm²；独立安装下方净空≥100 mm；下置电器时隔板至台面≥120 mm；燃气软管≤2 m 且阀门可达,燃气灶台面开孔、柜体通风净空和燃气接驳设计输入,现场燃气公司最终要求、橱柜实测、阀门与软管最终施工验收,verified_official_source,1.00,yes,no,官方 PDF 与到货包装型号一致；燃气接驳必须服从当地燃气公司和现场验收要求
APP-013-PHOTO-001,ELEC,E-303/S-701,油烟机到货型号及功率,user_product_photo,drawings/evidence/APP-013-siemens-LS33R6VB9W-package-label-front.jpg,fe22444cb2bfccbf65ce1ed5723ceab11b5345199061ea1af377664899702e94,包装铭牌正面,包装标注 SIEMENS LS33R6VB9W/01、CXW-380-LS33R6VB9W、额定输入 385W、包装尺寸 940×1000×615 mm,本项目已到货油烟机的厂家、型号、额定输入功率和包装尺寸,产品本体安装尺寸、烟管走向、止逆阀和吊顶检修条件,verified_user_product_photo,1.00,no,no,原始 JPEG 按字节固化；包装尺寸不得当作产品实体尺寸
APP-013-PHOTO-002,ELEC,E-303/S-701,油烟机到货批次侧标,user_product_photo,drawings/evidence/APP-013-siemens-LS33R6VB9W-package-label-side.jpg,890e44f1c3007636637f8e481d5faf7c26acdb8aa3b79d7875e61a2852b53edb,包装侧面铭牌,侧标再次显示 LS33R6VB9W 且可见生产日期 2024-03-21,到货包装型号与正面铭牌交叉一致,产品序列号完整性、包装内产品状态和现场安装条件,verified_user_product_photo,1.00,no,no,原始 JPEG 按字节固化；日期只作为到货批次辅助证据
APP-013-OFFICIAL-001,ELEC,E-303/S-701,油烟机配电排烟及检修接口,official_product_pdf,drawings/evidence/APP-013-siemens-LS33R6VB9W-installation.pdf,c655a75042381c8b418e13ccccf484593b084c58286d263cd0db85215d3c5cab,西门子/BSH 官方 PDF https://media3.bsh-group.cn/Documents/8001293270_A.pdf；第 4 页技术参数；第 9 页 11.3 机器与橱柜尺寸及排烟/电源/检修条件,220V/50Hz；额定输入 385W；外形 895×345×873 mm；烟管及止逆阀内径≥160 mm；烟管宜≤3 m 且 1 弯；墙洞建议 Ø180 mm；吊顶圆孔 Ø190 mm；检修口建议 400×400 mm；与燃气灶承锅面净距≥650 mm,油烟机配电负荷、排烟管径和安装检修设计输入,现场烟道可用性、吊顶完成尺寸、止逆阀安装和系统调试验收,verified_official_source,1.00,yes,no,官方 PDF 与到货包装型号一致；最终排烟路径和吊顶检修口须结合现场复核
A106-FIRE-OFFICIAL-001,ELEC,A-106,候选 JTW-ZD-A20 产品类型,official_product_web,https://www.sz-sanjiang.com/productdetail/10.html,not_applicable_live_official_web,高新投三江官方产品页；2026-08-11 核对；产品型号和技术参数段,JTW-ZD-A20 为点型感温火灾探测器；总线 24V；二线制；天花板吸顶安装,候选 A20 属于感温探测器产品线,用户文本中 JTW-ZD-920A20 是否存在或是否为复合式产品,verified_official_source_negative_match,1.00,yes,no,只用于阻止型号拼接被写成已定产品；不据此选定 A20
A106-FIRE-OFFICIAL-002,ELEC,A-106,候选 JTW-ZD-920E 产品类型,official_product_pdf,drawings/evidence/A106-sanjiang-JTW-ZD-920E-official-manual.pdf,a69f5d5d46bc3ed9e726efa45c934e912bcfded5d16fd7135e6047003545ea95,高新投三江官方英文下载 https://sanjiang-security.com/userfiles/files/2020/10/10/2020101013585255.pdf；第 1–2 页,JTW-ZD-920E 为点型感温火灾探测器；非极性二总线 24V；配 DZ-910 底座；探测器Φ100×56 mm,候选 920E 属于感温探测器产品线,用户文本中 JTW-ZD-920A20 的精确型号、当前国内认证、与现有系统兼容性或复合式身份,verified_official_source_negative_match,1.00,yes,no,尺寸仅属 920E 说明书；不得写入未选定的正式 IFC 产品包络
A106-FIRE-OFFICIAL-003,ELEC,A-106,高新投三江复合式对照型号,official_product_web,https://www.sz-sanjiang.com/productdetail/zzzzzzzzzzzzzz.html,not_applicable_live_official_web,高新投三江官方产品页；2026-08-11 核对；产品型号和技术参数段,JTF-GDM-936 才是厂家页面明确标称的点型复合式感烟感温火灾探测器,厂家对复合式感烟感温产品使用独立型号,本项目应改选 JTF-GDM-936 或其当前产品、是否适用厨房以及与消防系统兼容性,verified_official_source_comparison_only,1.00,yes,no,只作型号语义对照；不得自动用 JTF-GDM-936 替换用户候选
A106-GAS-OFFICIAL-001,ELEC,A-106,JT-GS838 候选系列,official_product_web,https://www.china-siter.cn/products_detail/27.html,not_applicable_live_official_web,赛特威尔官方产品页；2026-08-11 核对；产品描述与技术参数表,JT-GS838 系列为 AC 220V/50Hz 家用甲烷可燃气体探测器；Cat.1/NB-IoT；电磁阀输出；墙/顶安装；80×120×36 mm,用户候选属于厂家 JT-GS838 系列名称范围,精确后缀 C-NBAC-H05、当前型式认证/证书、当地燃气公司允许型号、移动安装条件或施工定位,verified_official_family_only,0.90,yes,no,系列页不等于精确 SKU 说明书；相关开孔、供电、通信和安装距离仍保持未关闭
OWNER-EVIDENCE-PANASURFACE-SWITCH-INSET-DETAIL-01,ELEC/INT1,E-302/INT1,Panasurface 开关平嵌装饰件图片,owner_supplied_product_image,drawings/evidence/owner-input-20260814/panasurface-switch-inset-detail-01.webp,c97c9c6a658c52e812310ba6dbd2b546fc5ee6518b950b071a61f6769be5fe91,业主 inbox evidence 原图按字节复制,panasurface-switch-inset-detail-01.webp 本地视觉证据,只证明装饰收口外观及与 86 型面板配合的商品展示,不证明尺寸公差、JINK EGG 通用适配、底盒深度、阻燃、电气接线或施工批准,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
OWNER-EVIDENCE-PANASURFACE-SWITCH-INSET-DETAIL-02,ELEC/INT1,E-302/INT1,Panasurface 开关平嵌装饰件图片,owner_supplied_product_image,drawings/evidence/owner-input-20260814/panasurface-switch-inset-detail-02.webp,61405f196053219cd689cab53da13504342957fb97cbf3ad21d328c6377c5c9b,业主 inbox evidence 原图按字节复制,panasurface-switch-inset-detail-02.webp 本地视觉证据,只证明装饰收口外观及与 86 型面板配合的商品展示,不证明尺寸公差、JINK EGG 通用适配、底盒深度、阻燃、电气接线或施工批准,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
OWNER-EVIDENCE-PANASURFACE-SWITCH-INSET-DETAIL-03,ELEC/INT1,E-302/INT1,Panasurface 开关平嵌装饰件图片,owner_supplied_product_image,drawings/evidence/owner-input-20260814/panasurface-switch-inset-detail-03.webp,3c413ff0850ac016736ddd705df60b843b94fb8a739eb8cddd033e6b0b803ba2,业主 inbox evidence 原图按字节复制,panasurface-switch-inset-detail-03.webp 本地视觉证据,只证明装饰收口外观及与 86 型面板配合的商品展示,不证明尺寸公差、JINK EGG 通用适配、底盒深度、阻燃、电气接线或施工批准,verified_local_owner_evidence_scope_limited,1.00,yes,no,不得从无比例图片量取施工尺寸。
