review_id,scope,global_id,ifc_class,current_name,candidate_role,current_condition,protected_action,required_confirmation,review_required,status,basis,confidence,stop_condition
ELEC-PROXY-001,proxy_handoff,1faflkXXH6M9cnYPE9Liir,IfcBuildingElementProxy,Electric flue check valve,equipment_or_service_proxy,对象名称和几何存在但没有类型或安装锚点语义,保持 ObjectPlacement 和世界几何不变,确认设备身份、安装面、检修方向及两个附属 Opening 的用途,yes,pending,C003 精确移交至 ELEC；名称仅足以分组,0.80,身份与安装锚点未确认前不得归整或写入正式 IFC
ELEC-PROXY-002,proxy_handoff,1WMWifzpjFOxatyFb9stFb,IfcBuildingElementProxy,W570D660H1780,equipment_proxy,现有几何约 560×570×1780 mm但没有设备类型或安装锚点语义,保持 ObjectPlacement 和世界几何不变,确认实际设备型号、支承面、接口面和检修方向,yes,pending,C003 精确移交至 ELEC；名称只表达包络尺寸,0.60,设备身份与安装锚点未确认前不得归整或冻结电源接口
ELEC-PROXY-003,proxy_handoff,3ufPf53o1CbQlrIxF$Oogk,IfcBuildingElementProxy,W570D660H1780,equipment_proxy,现有几何约 560×570×1780 mm但没有设备类型或安装锚点语义,保持 ObjectPlacement 和世界几何不变,确认实际设备型号、支承面、接口面和检修方向,yes,pending,C003 精确移交至 ELEC；名称只表达包络尺寸,0.60,设备身份与安装锚点未确认前不得归整或冻结电源接口
ELEC-PROXY-004,proxy_handoff,2qvK0LPkPAr8uEI8Oa_U1h,IfcBuildingElementProxy,Hole W370H64,service_hole_proxy,对象是 Proxy 而非 IfcOpeningElement且没有与设备的语义关系,保持 ObjectPlacement 和世界几何不变,确认对应设备、开孔用途、完成面定位和施工净尺寸,yes,pending,C003 精确移交至 ELEC；名称只表达 370×370×64 mm 包络,0.70,对应设备和开孔基准未确认前不得归整或转为正式开孔语义
ELEC-PROXY-005,proxy_handoff,3Irt7GGfb5MP7Q6g$zFVaX,IfcBuildingElementProxy,Hole W370H64,service_hole_proxy,对象是 Proxy 而非 IfcOpeningElement且没有与设备的语义关系,保持 ObjectPlacement 和世界几何不变,确认对应设备、开孔用途、完成面定位和施工净尺寸,yes,pending,C003 精确移交至 ELEC；名称只表达 370×370×64 mm 包络,0.70,对应设备和开孔基准未确认前不得归整或转为正式开孔语义
ELEC-PROXY-006,proxy_handoff,2xvG7uDof7OwbTH_w0edo0,IfcBuildingElementProxy,LECOASE F50,equipment_proxy,FOOD_WASTE_DISPOSER 对象类型已表达用途但没有设备参数或安装锚点语义,保持 ObjectPlacement、世界几何和两个附属 Opening 不变,确认实际型号、功率、控制、接口、安装面及两个附属 Opening 的用途,yes,pending,C003 精确移交至 ELEC；现有 ObjectType=FOOD_WASTE_DISPOSER,0.90,设备参数与安装锚点未确认前不得归整或冻结电源接口
ELEC-PROXY-007,proxy_handoff,2SdKxc_q96SBGrAUSYsWM9,IfcBuildingElementProxy,Hole W365H65,service_hole_proxy,对象是 Proxy 而非 IfcOpeningElement且没有与设备的语义关系,保持 ObjectPlacement 和世界几何不变,确认对应设备、开孔用途、完成面定位和施工净尺寸,yes,pending,C003 精确移交至 ELEC；名称只表达 365×365×65 mm 包络,0.70,对应设备和开孔基准未确认前不得归整或转为正式开孔语义
ELEC-PROXY-008,proxy_handoff,1SNXhKeZb7r9Y0MmzcQnc3,IfcBuildingElementProxy,SJ45ZB24MC,island_dishwasher,用户已确认该对象是岛台内两台洗碗机中的第一台；现有几何仍缺功率接口和安装锚点语义,保持 ObjectPlacement 和世界几何不变,确认精确型号、功率、给排水接口、支承面和检修方向,yes,confirmed_identity,用户明确两个SJ45ZB24MC对象分别代表两台岛台洗碗机,1.00,设备身份已关闭；接口与安装锚点未确认前不得归整或冻结电源点
ELEC-PROXY-009,proxy_handoff,2d2Vw3ZSn0exH1seMBMiVf,IfcBuildingElementProxy,SJ45ZB24MC,island_dishwasher,用户已确认该对象是岛台内两台洗碗机中的第二台；现有几何仍缺功率接口和安装锚点语义,保持 ObjectPlacement 和世界几何不变,确认精确型号、功率、给排水接口、支承面和检修方向,yes,confirmed_identity,用户明确两个SJ45ZB24MC对象分别代表两台岛台洗碗机,1.00,设备身份已关闭；接口与安装锚点未确认前不得归整或冻结电源点
ELEC-SOCKET-EX-001,socket_exception,0laejMoxn8Lu_X3FZaCXmi,IfcElectricAppliance,ElectricAppliance,SOC01_socket,整数吸附会破坏既有安装接触,保持 ObjectPlacement 与安装接触关系不变,在 E-303 中按既有位置标注并保留受控例外,yes,implemented,COORD-SOCKET-C003-CONTROLLED 精确对象集合,1.00,不得以整数化为由移动插座或破坏安装接触
ELEC-SOCKET-EX-002,socket_exception,27MTenki57DQsfMryX_1U0,IfcElectricAppliance,ElectricAppliance,SOC04_socket,整数吸附会破坏既有安装接触,保持 ObjectPlacement 与安装接触关系不变,在 E-303 中按既有位置标注并保留受控例外,yes,implemented,COORD-SOCKET-C003-CONTROLLED 精确对象集合,1.00,不得以整数化为由移动插座或破坏安装接触
ELEC-SOCKET-EX-003,socket_exception,2OOjqQDMHDjRcXQCniWXnp,IfcElectricAppliance,ElectricAppliance,SOC04_socket,整数吸附会破坏既有安装接触,保持 ObjectPlacement 与安装接触关系不变,在 E-303 中按既有位置标注并保留受控例外,yes,implemented,COORD-SOCKET-C003-CONTROLLED 精确对象集合,1.00,不得以整数化为由移动插座或破坏安装接触
ELEC-SOCKET-EX-004,socket_exception,3KXtmVvejA78j_iAS$kydj,IfcElectricAppliance,ElectricAppliance,SOC01_socket,整数吸附会破坏既有安装接触,保持 ObjectPlacement 与安装接触关系不变,在 E-303 中按既有位置标注并保留受控例外,yes,implemented,COORD-SOCKET-C003-CONTROLLED 精确对象集合,1.00,不得以整数化为由移动插座或破坏安装接触
ELEC-E301-001,missing_design_input,26DmeZ15D7ZeHYavba3FdK,IfcLightFixtureType,RA.LP,fixture_specification,79 个实例已有位置但没有产品功率、安装方式、回路或控制组语义,只读生成定位和 Space 候选；不写 IFC,确认实际产品、安装方式、灯组和控制需求,yes,pending,正式 IFC 中唯一已实例化灯具类型为 RA.LP / DIRECTIONSOURCE,1.00,产品与控制输入未确认前 E-301 不得施工发布
ELEC-E302-001,missing_instances,,IfcSwitchingDevice,,switch_and_control_points,正式 IFC 没有开关实例、控制关系或灯组关系,只生成待布点底图与缺项；不得把未实例化类型库画成点位,确认面板位置、入户总控范围、双控灯组和每键标签,yes,pending,正式 IFC 实例与关系只读盘点,1.00,开关位置和控制逻辑未确认前 E-302 不得冻结或写入正式 IFC
ELEC-E303-001,missing_design_input,,IfcElectricAppliance,,equipment_power_schedule,现有设备和插座有几何但没有功率、回路、防水等级或接口 Pset,只读生成既有点位和设备轮廓；不猜功率与回路,确认设备型号、功率、电压、接口、专用回路及防水要求,yes,pending,正式 IFC 19 个 IfcElectricAppliance 实例均无 Pset,1.00,设备参数未确认前不得冻结专用回路或柜体开孔
ELEC-E304-001,missing_instances,,IfcCommunicationsAppliance,,network_points_and_topology,正式 IFC 没有弱电或网络设备实例、端口、系统或连接关系,只生成待布点底图与未实例化网络类型清单,确认入户网络、弱电箱、主路由、主卧节点、桥接或有线回程及电源散热检修,yes,pending,正式 IFC 实例、端口与系统只读盘点,1.00,网络拓扑和设备位置未确认前 E-304 不得冻结或写入正式 IFC
