candidate_reference,space_global_id,space_long_name,space_name,current_reference,centre_x_mm,centre_y_mm,centre_z_mm,clockwise_angle_deg,basis,confidence,review_required,status,formal_ifc_write_allowed
R01,36NNomu9TDP9xkhh6D2l8K,玄关,SPACE-MERGED-016-玄关,R01,4950.000,-700.000,1400.000,0.000000,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R02,3_0Iqe4h98T8fmNcI7e34S,走廊,SPACE-MERGED-015-走廊,R02,450.000,-550.000,1400.000,12.859002,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R03,3_nZ2R79H1KBJ9M4f8Yxuj,西厨,SPACE-MERGED-008-西厨,R03,1600.000,-2450.000,1400.000,38.568071,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R04,2fhEbDfK1EkhJwlPikNm$b,中厨,SPACE-MERGED-007-中厨,R04,1600.000,-4500.000,1400.000,55.793430,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R05,31dqi6CKf5xBgtPCp1BqUZ,中厨飘窗,SPACE-CELL-07-08-U-J,R05,1600.000,-5650.000,1400.000,61.060142,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R06,3AlgzRX3jCvPS420cah9Qn,餐厅飘窗,SPACE-CELL-05-06-J-K,R06,-1250.000,-4900.000,1400.000,90.062195,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R07,2JnxeB$or6D8nffRg7GQbf,餐厅,SPACE-MERGED-004-餐厅,R07,-1250.000,-2850.000,1400.000,94.266066,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R08,2Ipk_EVoLERRYRYxRXZV5U,主卧飘窗,SPACE-CELL-01-02-J-K,R08,-4500.000,-4900.000,1400.000,122.429170,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R09,3gHz6U6BfFXgV6PnRzfOf$,主卧,SPACE-MERGED-001-主卧,R09,-4500.000,-2850.000,1400.000,138.347894,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R10,1W_zE37d90uejTDgSPX_vS,主卧入口,SPACE-CELL-02-05-N-O,R10,-3600.000,-550.000,1400.000,166.146738,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
R11,3qDKVXWy5FxAT1_mcfnS37,主卫干区,SPACE-CELL-01-02-N-O,R11,-5700.000,-550.000,1400.000,169.654495,用户确认玄关为 R01；按 22 个 Space 世界包围盒中心相对总体中心的顺时针极角排序,1.00,no,implemented,no
