global_id,sheet_id,ifc_class,name,object_type,predefined_type,container,representation_types,candidate_role,bbox_min_mm,bbox_max_mm,dimensions_mm,current_origin_mm,origin_residual_mm,shape_status,integer_geometry_anchor,basis,confidence,review_required,review_status,automatic_ifc_write_allowed,source_ifc_sha256
1Yr_JdSGn8XOs804Vwoetk,I-501,IfcBuildingElementProxy,Dining CounterTop.LP,KITCHEN,USERDEFINED,KITCHEN,"[""Body/Tessellation"",""Box/BoundingBox""]",named_worktop_or_countertop_candidate,"[-2591.455579,-4979.197422,10.0]","[0.641018,-3697.832504,2410.0]","[2592.096597,1281.364918,2400.0]","[348.75762462616,534.0,-2790.0]",0.24237537383999097,ok,,"existing name explicitly identifies Dining CounterTop.LP; fabrication thickness, edges and openings remain unverified",0.95,yes,classified_read_only,no,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
1O9JRXCI56VRUbpuLJy86Z,I-501,IfcBuildingElementProxy,sxb010,KITCHEN,USERDEFINED,KITCHEN,"[""Body/Curve3D"",""Body/Tessellation""]",legacy_cad_reference_needs_disposition,"[-2578.700413,-4966.692371,833.773987]","[-766.700962,-4903.299061,2429.849609]","[1811.999451,63.393311,1596.075623]","[-212.121799588203,-2046.05150222778,30.0]",0.12179958820300385,ok,"{""anchor_kind"":""integer_point_on_physical_non_axis_edge"",""point_mm"":[-2569.0,-4926.0,1345.0],""module_mm"":1.0,""evidence"":""point lies on a non-triangulation sloped or diagonal mesh edge""}","ObjectType=CAD or Body/Curve3D identifies legacy linework/reference geometry, not approved joinery fabrication geometry",0.9,yes,legacy_reference_needs_disposition,no,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
0YrTm1sjv1BB8cz__8S5YA,I-502,IfcBuildingElementProxy,Private Bathroom Pipe Wall,,COMPLEX,NBW,"[""Body/Tessellation""]",named_bathroom_pipe_wall_candidate,"[-6479.805946,1900.159836,0.0]","[-6079.814911,2600.159645,2400.0]","[399.991035,699.999809,2400.0]","[-18242.6433563232,-175.379753112793,-5300.0]",0.37975311279299717,ok,,existing name explicitly identifies a bathroom pipe-wall component; layer build-up and access remain unverified,0.95,yes,classified_read_only,no,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
1CsrBEKGnFnxzQaKtu24o$,I-501,IfcBuildingElementProxy,Furniture,,ELEMENT,KITCHEN,"[""Body/Tessellation""]",horizontal_joinery_panel_candidate,"[2577.788239,-5047.723389,888.0]","[3350.206688,-3831.723389,948.0]","[772.41845,1216.0,60.0]","[3197.78823852539,-4447.72338867188,0.0]",0.2766113281204525,ok,"{""anchor_kind"":""integer_point_on_physical_non_axis_edge"",""point_mm"":[3110.0,-4888.0,888.0],""module_mm"":1.0,""evidence"":""point lies on a non-triangulation sloped or diagonal mesh edge""}","world envelope 772.418×1216.000×60.000 mm is a thin horizontal panel at the existing model position; exact countertop, shelf or other role remains unverified",0.8,yes,geometry_role_candidate_identity_pending,no,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
1bquJkP0b52RG29UQKWWFT,I-501,IfcBuildingElementProxy,Furniture,,PARTIAL,KITCHEN,"[""Body/Tessellation""]",horizontal_joinery_panel_candidate,"[1201.01614,-5797.712994,888.0]","[2101.01614,-5077.712994,948.0]","[900.0,720.0,60.0]","[1501.01613998413,-5847.71299362183,0.0]",0.28700637817019015,ok,,"world envelope 900.000×720.000×60.000 mm is a thin horizontal panel at the existing model position; exact countertop, shelf or other role remains unverified",0.8,yes,geometry_role_candidate_identity_pending,no,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
1TzVxcofbE8uxozIseRjwb,I-501,IfcBuildingElementProxy,Cube,,COMPLEX,KITCHEN,"[""Body/Tessellation"",""Box/BoundingBox""]",full_height_joinery_volume_candidate,"[0.024951,-5797.71452,60.0]","[748.024951,-3700.71452,2400.0]","[748.0,2097.0,2340.0]","[275.024950504303,-5497.71451950073,360.0]",0.2854804992703066,ok,,world envelope 748.000×2097.000×2340.000 mm is a full-height joinery-sized volume; internal cabinet or enclosure role remains unverified,0.75,yes,geometry_role_candidate_identity_pending,no,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
2lP_4ZQK1A88utC$AW9ykT,I-501,IfcBuildingElementProxy,Furniture,,PARTIAL,KITCHEN,"[""Body/Tessellation""]",horizontal_joinery_panel_candidate,"[751.016283,-5797.712994,888.0]","[1201.016283,-5077.712994,948.0]","[450.0,720.0,60.0]","[601.016283035278,-5847.71299362183,0.0]",0.28700637817019015,ok,,"world envelope 450.000×720.000×60.000 mm is a thin horizontal panel at the existing model position; exact countertop, shelf or other role remains unverified",0.8,yes,geometry_role_candidate_identity_pending,no,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
31Naj$Q6nFq8XESxcIbWJ5,I-501,IfcBuildingElementProxy,Worktop,,PARTIAL,VVD,"[""Body/Tessellation""]",named_worktop_or_countertop_candidate,"[-993.838075,-2500.472837,902.0]","[222.161925,-1374.472837,962.0]","[1216.0,1126.0,60.0]","[-377.83807516098,-2144.47283744812,14.0]",0.4728374481201172,ok,,"existing name explicitly identifies Worktop; fabrication thickness, edges and openings remain unverified",0.95,yes,classified_read_only,no,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
2URKnyRmD11e$nu56qRs5A,I-501,IfcBuildingElementProxy,Worktop,,PARTIAL,KITCHEN,"[""Body/Tessellation""]",named_worktop_or_countertop_candidate,"[222.162005,-2500.472837,902.0]","[1438.162005,-1374.472837,962.0]","[1216.0,1126.0,60.0]","[838.162004947662,-2144.47283744812,14.0]",0.4728374481201172,ok,,"existing name explicitly identifies Worktop; fabrication thickness, edges and openings remain unverified",0.95,yes,classified_read_only,no,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
0YVlVSQ8P8FB9NhuRYt0uz,I-501,IfcBuildingElementProxy,Plane,,PARTIAL,KITCHEN,"[""Body/Tessellation""]",vertical_joinery_panel_candidate,"[-2551.634073,-2757.145643,22.170527]","[-2532.634073,-956.849318,2380.198359]","[19.0,1800.296326,2358.027832]","[-2551.63407325745,-1757.14564323425,1380.19835948944]",0.36592674255007296,ok,,"world envelope 19.000×1800.296×2358.028 mm is a thin vertical panel at the existing model position; exact backing, side panel or finish role remains unverified",0.8,yes,geometry_role_candidate_identity_pending,no,446a9fc8447d38e16dacad7dcce3df097b03f8a457c6bc80fca03d3560891632
