equipment_id,domain,category,item_name,manufacturer,model,variant,quantity,procurement_status,decision_status,storage_location_candidate,use_location_candidate,storage_location_confirmed,use_location_confirmed,schedule_included,selector_kind,selector_value,ifc_class,ifc_type_name,ifc_type_global_id,ifc_global_ids,source_ids,identity_basis,confidence,human_review_required,legacy_kind,legacy_id,notes
APP-001,APPLIANCE,移动厨电,火锅电器,,,,1,candidate,partial,厨房柜内,西厨岛台 NS-01,,西厨岛台 NS-01,yes,logical_input,APP-001,,,,,OWNER-INBOX-20260814-001;ELEC-RESEARCH-20260815-001,业主确认 NS-01 使用场景；准确型号和功率未知,0.80,yes,appliance,APP-001,准确型号和名牌功率保持 unknown；NS-01 已按两个同时 10A 移动负载端口的不利工况设计两路 C16，未把回路容量冒充为产品功率。
APP-002,APPLIANCE,移动厨电,搅拌机,,,,1,candidate,partial,厨房柜内,西厨岛台 NS-01,,西厨岛台 NS-01,yes,logical_input,APP-002,,,,,OWNER-INBOX-20260814-001;ELEC-RESEARCH-20260815-001,业主确认 NS-01 使用场景；准确型号和功率未知,0.80,yes,appliance,APP-002,准确型号和名牌功率保持 unknown；与火锅同时使用时必须分路。
APP-003,APPLIANCE,移动厨电,Sous-vide 棒,,,,1,candidate,partial,厨房柜内,西厨岛台 NS-01,,西厨岛台 NS-01,yes,logical_input,APP-003,,,,,OWNER-INBOX-20260814-001;ELEC-RESEARCH-20260815-001,业主确认 NS-01 使用场景；准确型号和功率未知,0.80,yes,appliance,APP-003,准确型号和名牌功率保持 unknown；与火锅同时使用时必须分路。
APP-004,APPLIANCE,咖啡设备,咖啡机,La Marzocco / Victoria Arduino,GS3 / E1 Prima EXP（候选二选一）,,1,candidate,partial,餐边柜,餐边柜 NS-02,,餐边柜 NS-02,yes,logical_input,APP-004,,,,,OWNER-INBOX-20260814-001;APP-004-GS3-OFFICIAL-001;APP-004-E1PRIMA-OFFICIAL-001;ELEC-RESEARCH-20260815-001,业主给出两款候选；厂家资料仅作为候选参数，最终机型未定,0.80,yes,appliance,APP-004,GS3 与 E1 Prima EXP 均保持候选，未采购、未终选；粗装按 2600W 不利值预留独立 C16 和接线盒，最终面板按实购插头匹配。
APP-005,APPLIANCE,咖啡设备,手冲电热水壶,Hario,,,1,candidate,partial,餐边柜,餐边柜 NS-02,,餐边柜 NS-02,yes,logical_input,APP-005,,,,,OWNER-INBOX-20260814-001,业主提供 Hario 品牌和 1200W；准确型号待定,0.80,yes,appliance,APP-005,1200W 为业主提供的候选功率，仍须按实购型号和铭牌复核；不与咖啡机同时使用。
APP-006,APPLIANCE,咖啡设备,磨豆机,,,,1,candidate,partial,餐边柜,餐边柜 NS-02,,餐边柜 NS-02,yes,logical_input,APP-006,,,,,OWNER-INBOX-20260814-001,业主确认 NS-02 使用场景；准确型号和功率未知,0.80,yes,appliance,APP-006,与咖啡机同时使用；型号和铭牌功率保持 unknown。
APP-007,APPLIANCE,固定厨房电器,冰箱 1,,,,1,not_selected,pending,西厨,西厨,,西厨,yes,logical_input,APP-007,,,,,,,0.80,yes,appliance,APP-007,持续供电且不得进入照明总控
APP-008,APPLIANCE,固定厨房电器,冰箱 2,,,,1,not_selected,pending,西厨,西厨,,西厨,yes,logical_input,APP-008,,,,,,,0.80,yes,appliance,APP-008,持续供电且不得进入照明总控
APP-009,APPLIANCE,固定厨房电器,岛台洗碗机 1,Siemens,Siemens SJ85ZX26MC,,1,candidate,partial,西厨岛台,西厨岛台,,西厨岛台,yes,logical_input,APP-009,,,,,APP-DW-SPEC-001;APP-DW-INSTALL-001;APP-DW-MANUAL-001;ELEC-RESEARCH-20260815-001,"【用户选型候选】https://e.tb.cn/h.8TnxVNjugUfIImB?tk=93QITaQnSCj CZ007
【西门子中国】https://www.siemens-home.bsh-group.com/cn/zh/mkt-product/SJ85ZX26MC
【官方规格表】drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-specsheet.pdf
【官方安装图】drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-installation-9002067344_A.pdf
【官方说明书】drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-user-manual-9002057324_C.pdf",0.80,yes,appliance,APP-009,候选洗碗机未采购；按官方 2000W/10A 和两台同时工况，每台各配 10A 接地插座、独立 C16 RCBO 和 2.5mm² 铜线。
APP-010,APPLIANCE,固定厨房电器,岛台洗碗机 2,Siemens,Siemens SJ85ZX26MC,,1,candidate,partial,西厨岛台,西厨岛台,,西厨岛台,yes,logical_input,APP-010,,,,,APP-DW-SPEC-001;APP-DW-INSTALL-001;APP-DW-MANUAL-001;ELEC-RESEARCH-20260815-001,"【用户选型候选】https://e.tb.cn/h.8TnxVNjugUfIImB?tk=93QITaQnSCj CZ007
【西门子中国】https://www.siemens-home.bsh-group.com/cn/zh/mkt-product/SJ85ZX26MC
【官方规格表】drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-specsheet.pdf
【官方安装图】drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-installation-9002067344_A.pdf
【官方说明书】drawings/evidence/APP-009-010-Siemens-SJ85ZX26MC-user-manual-9002057324_C.pdf",0.80,yes,appliance,APP-010,候选洗碗机未采购；按官方 2000W/10A 和两台同时工况，每台各配 10A 接地插座、独立 C16 RCBO 和 2.5mm² 铜线。
