expected_class,global_id,target_x_mm,target_y_mm,target_z_mm,anchor_kind,basis,confidence
IfcBuildingElementProxy,0u3BXQfv5DNB7pJWIiPf7e,2700.0,-1400.0,0.0,integer_point_on_physical_axis_edge,Cabinet Fake Wall Corner Double；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcBuildingElementProxy,1C2NYt_qT35P4jTGTCHJyh,-2790.0,-3990.0,30.0,integer_point_on_physical_axis_edge,Glass Cabinet Frame LP；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcBuildingElementProxy,2UhljZvyHBM9jCYFR8xcyl,-400.0,2300.0,2400.0,integer_point_on_physical_axis_edge,Public Bathroom Pipe Wall；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcBuildingElementProxy,3Bv_Kl3jDC5RvaUMdyge1U,2550.0,-3300.0,2500.0,integer_point_on_physical_axis_edge,AC Diffuser Embeded；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcBuildingElementProxy,3JAkt8PsX7vPfGKWLK5EKp,50.0,-4250.0,0.0,integer_point_on_physical_axis_edge,LG WashTower；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcCovering,004_$7IRPA9QbtyBuuiKWA,-1780,3200,0,integer_point_on_physical_axis_edge,Covering；目标位于现有施工表面物理轴向边且与 Curve2D Axis 保持同一世界标高,0.99
IfcCovering,0BC11AXkL2zQOj3oLaM5Dl,-3200,-3700,0,integer_point_on_physical_axis_edge,Baseboard.009；目标位于现有施工表面物理轴向边且与 Curve2D Axis 保持同一世界标高,0.99
IfcCovering,1cudaM$BT1GAKD9EEg4nqS,-100,0,0,integer_point_on_physical_axis_edge,Baseboard.001；目标位于现有施工表面物理轴向边且与 Curve2D Axis 保持同一世界标高,0.99
IfcCovering,2EYl9Bo4j7oAgy4jRg5sol,-1000,3200,0,integer_point_on_physical_axis_edge,Covering；目标位于现有施工表面物理轴向边且与 Curve2D Axis 保持同一世界标高,0.99
IfcCovering,3EeaetpRj9bw3iIk_f4eUG,-210,3180,0,integer_point_on_physical_axis_edge,Covering；目标位于现有施工表面物理轴向边且与 Curve2D Axis 保持同一世界标高,0.99
IfcCovering,3xKTsYjIjFSOwrsDNweAjR,10,-3350,2400,integer_point_on_physical_axis_edge,Covering；目标位于现有施工表面物理轴向边且与 Curve2D Axis 保持同一世界标高,0.99
IfcElectricAppliance,06GpMzzWj1XQobAhD35cgU,-2219.0,487.0,2610.0,integer_point_on_physical_axis_edge,ElectricAppliance；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcElectricAppliance,1QBdVekDnBsOleyo9PM6rT,-2636.0,-1128.0,2619.0,integer_point_on_physical_axis_edge,ElectricAppliance；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
IfcElectricAppliance,1yW7DASIz8qA$2j8z9tdl2,6212.0,1515.0,2604.0,integer_point_on_physical_axis_edge,ElectricAppliance；目标位于现有 Body 物理轴向边的整数点；仅重设原点且不得把该点解释为安装连接尺寸,0.99
