issue_id,priority,qa_gate,scope,global_ids,current_condition,required_action,responsible_party,target_task,review_required,status,basis,confidence,stop_condition
M072-P0-001,P0,SPACE-REVIEW,space-semantics,,15 个 Space 仍使用 PROVISIONAL_GRID_CELL；边界已经用户确认,不改边界；逐房细化 ObjectType 并保留 LongName/BAY_WINDOW_ZONE 已确认语义,BIM,S001,yes,delegated,当前 IFC 快照；用户已确认全部 Space 边界但要求后续重新标记,1.00,任一 Space 语义仍无法从已确认设计中得到时停止写入
M072-P0-002,P0,DECISION-QUEUE,space-reference,,22 个 Space 尚无稳定 Reference 房间码,确认从玄关开始的平面编号方向后生成 R01-R22,BIM/设计,S001,yes,pending,SPACE-REF-001；Reference 必须独立于中文 LongName 并服务跨图索引,0.85,编号方向未确认前不写 IFC
M072-P0-003,P0,DOOR-LOCATION-DATA,door-hosting,"1TW6$_GfnABRZusYvx0zZG; 2D5BPoo2XFSvhTdfPenCh7; 0zjVS5FBbBewgUkk0fdfiv",M07 主卧门与 M05/M06 Sail 门组没有 IfcRelFillsElement,保留已确认身份/门组；结合固定家具、轨道与现场构造建立宿主/安装节点,BIM/全屋定制,A104/INT1,yes,delegated,当前 IFC 关系不足以按最近墙体自动建宿主；门身份已人审,1.00,未获得安装构造证据时不猜测宿主
M072-P0-004,P0,"FORMAL-DIMENSIONS; A103-CANDIDATE",dimension-annotation,,正式 IFC 中尚无尺寸注释；A-103 有 29 条 SVG 候选尺寸,保留候选尺寸并在现场复核后转正式标注,BIM/现场,A103/QA01,yes,delegated,A-103 双向尺寸链闭合残差 0.0 mm；仍不是现场测量值,1.00,任一候选尺寸被当作现场实测值时停止发布
M072-P0-005,P0,,survey,A-101,尚无 A-101 现状测量平面图,实测主要开间/进深/层高/梁底/窗台及不可移动物业条件,现场/物业,A101,yes,planned,施工图检查清单 A-101；A-102 的拆除尺寸已明示为近似,1.00,测量资料不齐时不出可施工发布版
M072-P0-006,P0,CONCENTRATED-HUMAN-REVIEW,release-closeout,,122 条发布阻断安装条件已零遗漏映射为 16 个根因审核包，与 22 个待关闭业主输入合计 38 个根审项,按集中人审清单追项关闭责任、证据和受影响图纸；不将已采用候选误标为施工证据齐备,业主/设计/现场/厂家,QA01/REL1,yes,delegated,build/release/concentrated-human-review-current.json；122/122 映射且 unmapped_blocker_count=0,1.00,任一阻断条件无稳定根因包、责任方、所需证据或受影响图纸时停止发布
M072-P1-001,P1,,window-hardware,"8 IfcDoor; 11 IfcWindow",窗户执行器、自动锁闭、密封、物业限制及房门阻尼/地轨尚未落表,逐樘核对并落入门窗/五金表,物业/门窗厂家,A104/S701,yes,pending,深化注意事项 4/5/15/18,1.00,物业限制或执行器安装条件未确认前不下单
M072-P1-002,P1,,floor-build-up,"F11; F20; F21",已写入材料与 50 mm 构造区；真实分层几何、样板和基层未定,结合样板、供应商数据与门槛/收口建真实分层,设计/供应商,A105/WFIN/DET1,yes,pending,A105-FLOOR-MATERIAL-001 与 A105-FLOOR-BUILDUP-001；当前仅为 FFL 参考面,1.00,总厚度无法闭合或样板未确认时不发布节点
M072-P1-003,P1,,water-system,,水压、前置过滤/旁通/增压与热水等待方案未确认,测静态/动态水压；核对管长/管径/保温；确定回水或其他方案,业主/工头/给排水设备方,PLUM,yes,pending,深化注意事项 2/3,1.00,水压或热水系统条件影响设备时停止定型
M072-P1-004,P1,,gas-meter,,燃气表/阀门/管线尺寸及柜体检修安全条件未实测,实测宽深高并由物业/燃气相关方确认柜内做法,工头/物业/橱柜厂家,INT1,yes,pending,深化注意事项 14,1.00,检修或安全条件未确认时不锁定柜体
M072-P1-005,P1,,equipment-selection,,厨房、卫生间、入户与家政设备的型号/尺寸/功率/接口尚未齐全,完成设备表并联动水电、通风、柜体与检修空间,业主/设备方,INT1/ELEC/PLUM/S701,yes,pending,深化注意事项当前优先核对事项 5,1.00,设备包络未确认时不冻结接口和柜体开孔
M072-QA-001,P0,,candidate-pdf,"A-102; A-103; A-104; A-105",四张 P0 候选图已从同一正式 IFC 重新生成,继续使用流水线检查页数、页面尺寸、空白页、编号重复、尺寸闭合和标注碰撞,自动化,M072,no,implemented,候选报告中所有机械门通过；PDF 人眼渲染审查未见裁切/重叠/空白缺陷,1.00,任一候选图不能从当前 IFC 重现或 PDF 不可读时阻塞 M072
