expected_class,global_id,source_anchor_x_mm,source_anchor_y_mm,source_anchor_z_mm,target_x_mm,target_y_mm,target_z_mm,anchor_kind,contact_group,basis,confidence,human_review_required,status
IfcFurniture,09n9MD4MP6YwWt7w8SLJlG,762.193977,-1835.475308,74.000000,762,-1835,74,physical_edge_midpoint,FURN-G01,FURN-G01；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3oi7zJVsn93h2bH86MGcPH,822.176647,-2475.473161,74.000000,822,-2475,74,existing_vertex,FURN-G01,FURN-G01；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,0etjVZleH2DvGnYhJm0BCK,-917.820685,-1835.475430,74.000000,-918,-1835,74,physical_edge_midpoint,FURN-G01,FURN-G01；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,1OU00zHknFfQOKVh$gmE1r,-317.820662,-1835.475430,74.000000,-318,-1835,74,physical_edge_midpoint,FURN-G01,FURN-G01；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,1B6IEQzi53sQKQXMKDU2XE,1362.194084,-1625.474669,74.000000,1362,-1625,74,physical_edge_midpoint,FURN-G01,FURN-G01；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,1QPmeve6fEIhNrBYMdD2sJ,147.194095,-1474.475074,74.000000,147,-1474,74,physical_edge_midpoint,FURN-G01,FURN-G01；现有物理边中点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,1RpVI19eXDARuMuhztB5IR,1422.194755,-1377.474353,74.000000,1422,-1377,74,existing_vertex,FURN-G01,FURN-G01；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,2Zjq0wICPAYAr4RNJLeesH,222.194731,-1377.474353,74.000000,222,-1377,74,existing_vertex,FURN-G01,FURN-G01；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,2qhynM3rf33AQqbI129k2v,-377.805316,-1377.474353,74.000000,-378,-1377,74,existing_vertex,FURN-G01,FURN-G01；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
IfcFurniture,3vRIKiKbL9nAvF_CZkYkxA,222.194707,-1377.474353,74.000000,222,-1377,74,existing_vertex,FURN-G01,FURN-G01；现有物理顶点吸附到整数毫米；组内接触及墙/板/饰面接触按 0.1 mm 机械门验证,0.99,no,approved
