review_id,scope,global_ids,current_condition,read_only_candidate,basis,confidence,review_required,status,required_confirmation,stop_condition
RCP1-HANDOFF-001,protected_handoff,16Ey9Flj9BK9VRun$ozzjH,用户确认该对象为转角空调风口且整体天花边界和高低关系正确,纯原点候选将 ObjectPlacement 重设到现有端面整数点 5800/2970/2500 mm并逆变换局部表示；世界几何不动,Blender Solid 深度审图确认身份；锚点到实际端面 0.046702 mm；全模型差分最大 3.9e-12 mm,1.00,no,confirmed_candidate,无需再次确认身份；送回风角色、风量、连接和检修另行深化,候选机械门失败或正式 HVAC 设计未完成时不得作为施工风口发布
RCP1-HANDOFF-002,protected_handoff,0zWtSQZzjFQg_PORjlssbe,用户确认 16 个天花和灯槽对象的边界与高低关系整体正确且书架跌级天花关系成立,纯原点候选将 ObjectPlacement 重设到已确认下表面整数点 5800/0/2400 mm并逆变换局部表示；世界几何不动,Blender Solid 深度审图确认几何；锚点落在实际下表面；全模型差分最大 3.9e-12 mm,1.00,no,confirmed_candidate,无需再次确认现有几何；材料、检修和最终节点另行深化,候选机械门失败或最终收口未完成时不得施工发布
RCP1-CEILING-COVERING-001,ceiling_covering,"02JiVqnyTDXQ1GpfLPCpMl; 29Bsqi59j53wkoXK3bK3Ps",WD02 与 WD03 是梁和墙 3Iwtjib290RgoxOZXiXjY_ 共面收口的木工板打底，不是最终天花完成面,保持既有搭接几何并作为收口构造底稿；不得因 CEILING 类型误判为最终饰面,用户明确确认用途并说明墙体已局部下凿供板件搭接、防止热胀冷缩开裂；当前几何分别约 9×3500×340 mm 与 70×3500×18 mm,1.00,yes,confirmed,深化实际结构板材料、固定方式、承载、热湿变形、伸缩缝、防火防潮和最终饰面层,材料与节点未验证前不得作为最终 A-106 收口节点发布
RCP1-DCL-PROXY-001,dcl_proxy,"0w_j3LiLHFX8uK$fI3H5IP; 1_eTV3TaD0ewHXs5A2gCk0; 0goB22sEf0W9caxUqAkTwJ; 3$lrsbcgT3Jg4KFoQ9xsL_; 2HNrakrjbCTuX3CgB2ORBO; 24GcPrcEPB0QT3HxbcvPtq; 3Kxq1aQl9EyfzEhA_7IoLA; 2B9gGJ5197jvvwqUj7h8_U; 1wtOLxfnP3ZfqIIkLZaTFU; 30YXVJrQjBEgTfH5xSTneR; 26M2TYddDFzeD98_XKwBgZ; 0JcqcpduD9YRHOQJ2Q92gO; 2PT3O6ohvAxPR570xBmdX6; 0zWtSQZzjFQg_PORjlssbe; 0jI$MQCH9A_w5aml5rEXbg; 3BNIc86L19ZBCt40wmF$KZ",16 个 DCL Proxy 的现有边界与高低关系已由用户整体确认正确,保留现有几何、标高与相互接触关系；不把当前确认扩展为材料、检修或完整施工语义,Blender Solid 深度审图与 10 组预期天花接触机械检查共同确认,1.00,no,confirmed,无需再次确认现有几何；完成面材料、节点和检修需求另行深化,材料和检修条件未确认前不得施工发布
RCP1-DIFFUSER-PROXY-001,named_high_proxy,16Ey9Flj9BK9VRun$ozzjH,用户确认 AC Diffuser Embeded L Corner 是转角空调风口；正式 IFC 仍不是 IfcAirTerminal且没有系统或端口,保留已确认风口身份与现有几何；不自动转换 IFC 类或推断送回风,用户在 Blender 集中审图中确认身份；名称、高位几何和 DCL 容器与确认一致,1.00,yes,confirmed,继续确认送回风角色、风量、尺寸、连接、安装和检修关系,装修 HVAC 设计未完成前不得作为正式风口发布
RCP1-DIFFUSER-PROXY-002,named_high_proxy,3Bv_Kl3jDC5RvaUMdyge1U,AC Diffuser Embeded 已确认为旧方案空调出风口但该方案有缺陷,保留为旧方案底稿；装修后重新设计风口，不把当前 Proxy 自动转换为 IfcAirTerminal,用户明确确认对象身份与方案缺陷；当前 IFC 仍无系统、端口或风量,1.00,yes,confirmed,重新设计送风关系、风量、尺寸、中心线、连接、安装和检修,不得把旧方案风口直接作为装修后施工点位发布
RCP1-TYPED-AC-001,typed_high_equipment,"1yW7DASIz8qA$2j8z9tdl2; 1QBdVekDnBsOleyo9PM6rT; 33chLv3TzEOhKalIJJAPNF; 06GpMzzWj1XQobAhD35cgU; 1PUCikoaP5fgiYt8sJd8$6",5 个 IfcElectricAppliance 已分配 ElementType=AC且位于高位但没有系统、端口、功率或检修 Pset,只读登记类型、几何、标高和 Space 重叠,已分配 IfcElectricApplianceType 只证明当前 AC 类型标签；不证明系统或能力,1.00,yes,pending,设备方确认型号、功率、风口/管线关系、控制和检修包络,设备包络与检修不可达时不得施工发布
RCP1-AC-OPENING-001,named_high_opening,"3qgu$TepT0J8Yat7ZQ90Mf; 2oHWzdjkr8X8Yt0Gd2e3RQ; 1JVGu2xtb1ZhGElhvSmyd$; 3k2aFe_p5Ah8HJEqWUBB7F; 3ERXx822H9jOPo6CetKX9r; 0DOeKdT3DE9f2LMR_x$G7q; 1_EX1UWfL8ShcGm5BI1UPc",7 个高位 IfcOpeningElement 均为开发商原有空调洞且位置已核对,保持现有宿主、位置和几何；装修方案不新增空调洞,用户明确确认洞口来源、位置和不新增原则；IfcRelVoidsElement 保留现有宿主关系,1.00,yes,confirmed,深化每个既有洞口对应设备、净尺寸、防火/气密封堵和检修收口,不得移动或新增洞口；设备对应与封堵未完成前不得冻结洞口表
RCP1-HIGH-FLOW-001,high_flow_segment,"0hHnbLj0X4jPDz4o3QJo1l; 10Wm8ivdX7dAVfz4cV8l5Q; 0Ik2RcgGbFOhdYTJPgh5AQ; 1hZRB0eOX8OA8rcjke67P0; 0f2ZLauDH8lRnYj6oervDm",5 个 CEL IfcPipeSegment 只记录旧方案/现状近似管线路由，不是装修后的最终管道设计,保持现有几何作为后续改造底稿；装修冷媒液管、冷媒气管和冷凝水管需重新设计,用户明确说明紫色管线不是装修后方案；旧 blend 与当前 IFC 的五条对应管线分支数一致，组件包围尺寸最大差 0.015289 mm,1.00,yes,pending,完成装修后系统归属、管径、冷凝水坡度与排放、保温、端口、连接、吊架、检修及路由设计,旧几何只能作为设计底稿；新路由通过碰撞和检修门前不得作为正式管线发布
RCP1-FLUE-PROXY-001,named_high_proxy,1faflkXXH6M9cnYPE9Liir,厨房高位 Proxy 名为 Electric flue check valve但没有 IFC 类型、系统或端口,只读登记现有几何、标高、附属 Opening 和 Space 重叠,对象名称和几何只支持待确认分组,0.70,yes,pending,确认构件身份、排烟系统关系、电源、安装和检修条件,系统与检修未确认前不得施工发布
RCP1-MISSING-AIR-001,missing_instances,,正式 IFC 中 IfcAirTerminal、IfcAirTerminalBox、IfcFan、IfcDamper 实例均为 0,登记为 A-106/M-401 缺项；不把 Proxy 自动转换为空调构件,正式 IFC 类实例计数,1.00,yes,pending,设备方提供正式风口、风阀、风机对象或确认无需建模,缺项未关闭前不得施工发布
RCP1-MISSING-SAFETY-001,missing_instances,,正式 IFC 中 IfcSensor 与 IfcAlarm 实例均为 0,登记卧室/客厅火警及厨房燃气报警缺项；不生成假点位,正式 IFC 类实例计数与已确认待深化要求,1.00,yes,pending,消防/设备方确认传感器和报警器位置、供电或通信方式,安全设备未定位前不得施工发布
RCP1-MISSING-WARM-AIR-001,missing_instances,,正式 IFC 中没有可验证的卫生间暖风设备实例,登记为缺项；不从未实例化类型或名称猜设备,正式 IFC 类、类型分配和对象名称盘点未找到可验证实例,0.95,yes,pending,设备方确认暖风设备型号、尺寸、功率、风口、回路和检修空间,暖风设备未确认前不得施工发布
RCP1-MISSING-ACCESS-001,missing_instances,,正式 IFC 中没有可验证的独立检修口对象或检修净空语义,登记为缺项；不从普通 Opening 猜检修口,正式 IFC 对象名称、类型和关系盘点,0.90,yes,pending,逐台设备确认检修口位置、尺寸、开启方向和可达净空,检修不可达时不得施工发布
RCP1-MISSING-SYSTEM-001,missing_topology,,正式 IFC 中 IfcSystem、IfcDistributionSystem、IfcDistributionPort 及端口连接均为 0,登记系统与连接缺项；不推断风量、回路、介质或连接,正式 IFC 系统、端口与连接关系计数,1.00,yes,pending,机电方提供系统归属、连接、能力和控制数据,系统拓扑未确认前不得施工发布
RCP1-COORD-METHOD-001,mechanical_rule,,117 个 RCP1 对象需要区分相交、接触、近距和已证明分离,先用世界 AABB 筛选；候选对再用 IfcOpenShell world mesh collision/intersection/clearance 判断；默认容差 0.1 mm,正式 IFC Body 三角网格与可传容差；不写 IFC,1.00,no,implemented,无；每次 IFC 哈希变化后重跑,报告哈希或对象集合过期时不得沿用结论
RCP1-EXPECTED-LIGHT-001,expected_relation,,灯具与天花实体的接触或嵌入可能是既有安装表达,分类为 expected_light_ceiling_embedding_candidate 而不是自动冲突,IfcLightFixture 与既有 CEILING/DCL 天花候选的世界网格关系,0.95,no,implemented,仅在灯具与其他设备/管线相交或人工发现安装问题时升级,不得把全部灯具嵌天花关系批量报成冲突
RCP1-EXPECTED-OPENING-001,expected_relation,,IfcOpeningElement 穿宿主属于正式 Voids 关系,宿主对登记为 expected_opening_void_host；Opening 与非宿主对象相交仍进入人审,IfcRelVoidsElement 提供唯一宿主关系,1.00,no,implemented,无；非宿主穿越关系另审,不得把 Opening 与其正式宿主自动报成冲突
RCP1-REVIEW-PAIR-001,mechanical_review_queue,"0Ik2RcgGbFOhdYTJPgh5AQ; 0f2ZLauDH8lRnYj6oervDm; 0hHnbLj0X4jPDz4o3QJo1l; 10Wm8ivdX7dAVfz4cV8l5Q; 1hZRB0eOX8OA8rcjke67P0; 1yW7DASIz8qA$2j8z9tdl2; 1QBdVekDnBsOleyo9PM6rT",原剩余 10 个管段彼此或管段与 AC 的网格相交均在旧 blend 中以相同相交状态存在,从当前硬碰撞人审队列关闭；保留为装修后 HVAC 重新设计的输入，不把旧相交解释为有效连接或可施工净空,正式 IFC 与旧 blend 逐对网格状态 10/10 一致；五条管线分支数和组件包围尺寸均在 0.1 mm 门内,1.00,no,implemented,无当前几何人审；后续直接审核重新设计的管线与设备方案,旧 blend 或正式 IFC 哈希变化后必须重跑；不得用本结论批准最终系统、端口、保温、坡度、吊架或检修
RCP1-LEGACY-BASE-001,legacy_design_base,"0Ik2RcgGbFOhdYTJPgh5AQ; 0f2ZLauDH8lRnYj6oervDm; 0hHnbLj0X4jPDz4o3QJo1l; 10Wm8ivdX7dAVfz4cV8l5Q; 1hZRB0eOX8OA8rcjke67P0; 1yW7DASIz8qA$2j8z9tdl2; 1QBdVekDnBsOleyo9PM6rT",旧 2504_lowpoly.blend 保存拆改后空调与旧式管线的近似状态但不是装修后最终 HVAC 方案,以哈希固定旧文件并只读核对五条管线、10 对旧相交和 1QBd 东侧额外空调候选；不写正式 IFC,旧 blend SHA-256 a8e0a94ef766667ad3749b96c158afdd538a330009b135e49ed461d1634c78ed；正式 IFC SHA-256 7521c09991f3d0c7b7d91ca2324fd55ad961d8e32e9e3e9a9777a4cc19b06e81；五条管线最大组件尺寸差 0.015289 mm；10/10 相交一致；东侧候选中心预测差最大 4.938 mm,1.00,no,implemented,无；装修后 HVAC 系统另行设计并复用已核对的开发商洞口,旧文件只作底稿；不得将 Blender 候选冒充正式 IFC 对象或施工定位
