global_id,ifc_class,type_name,lightweight_profile,evidence_class,official_reference,status,limitation
0V9CnYT0n3GvkLmXhxvv$u,IfcPipeSegment,DRA01,pipe_flange,model_derived,current IFC detailed MODEL_VIEW,controlled_outline_active,只保留外轮廓、两道法兰方环和中心线；不是厂家加工图
0YgqsahOH4FvZ_nLwl_Tlf,IfcPipeSegment,DRA01,pipe_flange,model_derived,current IFC detailed MODEL_VIEW,controlled_outline_active,只保留外轮廓、两道法兰方环和中心线；不是厂家加工图
2wViHGrwX2hOYCb3MDNb$9,IfcPipeSegment,DRA01,pipe_flange,model_derived,current IFC detailed MODEL_VIEW,controlled_outline_active,只保留外轮廓、两道法兰方环和中心线；不是厂家加工图
2S2c498tb7$gzdukjhCGVQ,IfcSanitaryTerminal,Geberit 154.446.KS.1,linear_drain,official_identity_and_cad_available,https://catalog.geberit-global.com/fr-XE/product/PRO_4702328,controlled_outline_active,官方 A/L DXF 可取证但含圆弧样条；本轮仍采用模型派生纯直线轮廓且不冒充厂家 CAD
2iKOL78$H0N9Yd9$ky3pW4,IfcSanitaryTerminal,Gessi316 54294,sanitary_fitting,official_identity_only,https://gwebassets.gessi.com/strapi-uploads/assets/MAGAZINE_GESSI_316_2026_d8f9138389.pdf,controlled_outline_active,官方目录确认 45089_54294 组合；精确 CAD 需 Area Pro 登录，当前轮廓仅模型派生
3hgNkx97vCTOC2eewCpMNk,IfcSanitaryTerminal,Geberit Duofix Sigma,duofix_frame,official_family_candidate,https://catalog.geberit-global.com/en-XC/product/PRO_4081335,controlled_outline_active,IFC 缺具体料号；111.300.00.5 与 111.950.00.6 仅为标准候选，不能写成已确认产品
3pvAlH5C14v8uVEJ1LmK8M,IfcSanitaryTerminal,Geberit Duofix Sigma,duofix_frame,official_family_candidate,https://catalog.geberit-global.com/en-XC/product/PRO_4081335,controlled_outline_active,IFC 缺具体料号；111.300.00.5 与 111.950.00.6 仅为标准候选，不能写成已确认产品
2xmcLzu1rDTeMzRuNxPDyE,IfcFurniture,HIMA01,cabinet,model_derived,current IFC detailed MODEL_VIEW,controlled_outline_active,仅表达家具总体外轮廓与分格线；不作为加工或开孔尺寸
3IQBEqO5vDI8Z9k1Ltge_N,IfcFurniture,BED01,bed,model_derived,current IFC detailed MODEL_VIEW,controlled_outline_active,仅表达床体外轮廓和关键水平线；不作为采购尺寸
1MzM8Ms2vFo8KEm503j9w2,IfcFurniture,SIS04,cabinet,model_derived,current IFC detailed MODEL_VIEW,controlled_outline_active,公共空间扩展后首次进入 OCC 范围；仅表达外轮廓和柜体分格线
1O9JRXCI56VRUbpuLJy86Z,IfcBuildingElementProxy,,ceiling_panel,model_derived,current IFC detailed MODEL_VIEW,controlled_outline_active,ObjectType=KITCHEN 的薄型高位代理；只保留外轮廓和两道板缝，不推断产品身份
1i_pqgLv9A7uuV7MjaArBW,IfcFurniture,BED02,bed,model_derived,current IFC detailed MODEL_VIEW,controlled_outline_active,全量 OCC 重编后在 EL-01 视图 01 首次暴露；仅表达床体外轮廓和关键水平线
