sheet_number,title,source_view,status,publish_target,notes
A-001,图纸目录、设计说明与图例,,candidate,output/pdf/A-001-drawing-index-candidate.pdf,M072 自动汇总全部图号、阶段、版本、说明和图例；最终交付增加材质化正投影产品页要求：平面＋正/展开立面＋材质纹理＋尺寸链＋统一版式，与施工协调图并行且不替代厂家加工图
A-101,现状测量平面图,,planned,,待现场实测主要开间、进深、层高、梁底、窗台与不可移动物业条件
A-102,现状与拆除墙定位图,Wall Plan,candidate,output/pdf/A-102-demolition-plan-candidate.pdf,13 面 DEMOLISH IfcWall 已写入正式 IFC；SVG/PDF 含现状/新建/已拆记录/计划拆除图例、D01-D13 近似尺寸表，机械 QA 通过
A-103,新建墙体及施工定位图,Wall Plan,candidate,output/pdf/A-103-wall-plan-candidate.pdf,已生成当前 IFC 的墙体分组、20 轴闭合尺寸链、4 面已确认新墙和 5 个有宿主门洞定位；84 面 EXISTING 与 4 面 NEW 已写入标准属性
A-104,门窗定位图及门窗表,Wall Plan,candidate,output/pdf/A-104-door-window-plan-candidate.pdf,MS 已确认：M05/M06 为 Sail MONOROTAIA 单轨单扇、官方 DWG 第二种配置、白橡木/浅色木、1000×2400 mm 门扇、2000 mm 暗藏顶轨、无通长地轨、向东/图纸右侧滑开；M07 为 Poliform Pivot 950×2400 mm，与 Senzafine 背面新增护墙板齐平、向主卧内开并停靠图纸右侧。候选图投影业主决定；准确下单尺寸、饰面编号、轴位、基层、净距与收口仍待 06 厂家复核表和项目加工图；正式 IFC 未修改。 全屋窗饰方向已确认但未下单，逐窗完成面、分幅和轨道等待厂家图关闭。既有窗增设纯机械手摇开窗器，不设电源和智能联动；约 22 mm 闭合边只作研究依据，须以准确产品和一樘非厨房窗样板关闭受力、孔距、排水腔避让、防水与保修。
A-105,地面完成面及标高图,FFL PLAN,candidate,output/pdf/A-105-floor-finish-candidate.pdf,21 个 Tag、18 个坡向属性、3 个材料/完成面意图及 2 个降板属性已写入正式 IFC；写后语义、关系、placement 和世界几何通过 0.1 mm 机械门 旧稿阳台塑木地板方向已登记；准确产品、完成面高度、排水、检修、收边、防火和耐候未关闭。公共区旧稿灰白洞石视觉与现行银白洞石岩板属于同向材料深化，不视为冲突。
P-201,给水、热水及设备图,Wall Plan,candidate,drawings/P-201-water-hotwater-demand-candidate.svg,Foster 1014850 官方参数已机械关闭；洗烘采用两台设备各自独存水弯后下游合流的双存水弯方向，优先比选 Taobao item 703917654224 / SKU 5125125938318。该组合未采购且包含非吉博力原厂配件；项目先出 P-201／I-503 联合剖面，商家与西门子再对图复核零件、接口、水封、防串水、标高、检修和双机试验。600 mm 石材盆由项目先画联合剖面。APP-016 保留 F50 基准候选并与 Franke Slim 50 CN 比较；说明书未给的中心和路线继续不猜。
P-202,排水及洁具定位图,Sanitary Plan,candidate,output/pdf/P-202-drainage-sanitary-candidate.pdf,主卫和客卫淋浴区均采用定制水母地漏／中央集水器＋托克乐思网＋线性排水渠；已登记 Geberit 154.446.KS.1／154.150.00.1 当前不采用。准确组件、排水口、水封、防水翼环、完成标高、找坡和清洁检修由逐房间 shop drawing 关闭；不修改正式 IFC。
E-301,灯具布置图,Wall Plan,candidate,output/pdf/E-301-E-303-renovation-round1-candidate.pdf,79 个现有灯具保留为底稿；第一轮已补 4 个床头灯平面候选，灯具、安装高度、开关与回路待后续反向复核
E-302,开关及照明控制图,Electrical Coordination Plan,candidate,output/pdf/E-302-E-304-control-network-candidate.pdf,Entry A/Master A/Master B 的 4/2/3 键角色保持；MS 已确认 Master A 首选主卧门与主卫门全开后两门之间的剩余固定墙，后备为左门套/见光板侧。候选图显示该优先级但不生成接口中心坐标；实际净宽、底盒净深、M07 开启包络、准确 SKU、端子、负载/浪涌和平嵌适配仍阻断最终发布。
E-303,插座与设备电源图,Wall Plan,candidate,output/pdf/E-301-E-303-renovation-round1-candidate.pdf,设备插头、墙面插座、支路保护和独立回路分开表达。烤箱为 16A 插头／插座＋独立 C16；洗烘为两个 10A 插座共用一路 C16；冰淇淋机按家用候选包络预留。已购 H70FT 仅在台面使用位设可触及 10A 接地插座，纯存放柜格不默认加插座。既有强电箱为三江电气，手写 P230／PX1，铭牌 380/220 V、63 A；63 A 不得写成断路器整定或可增容结论，须由现场取证箱内断路器、导线、模数并计算负荷。
E-304,弱电及网络图,Electrical Coordination Plan,candidate,output/pdf/E-302-E-304-control-network-candidate.pdf,两个吸顶 AP 采用 Cat6 星型回弱电箱 PoE 拓扑；优先候选更新为 TP-Link TL-XAP1500GE-PoE/DC 易展版，准确外形 Ø184×40 mm、开孔 Ø155 mm、802.3at PoE、最大 11.1 W。现有对讲按 DNAKE 280M-S3 识别；型号不再询问，只补实际供电／端子、物业保留复装条件。弱电箱按有效安装包络、被动风道和可加装 120 mm 级风扇节点深化。
A-106,综合天花图,Wall Plan,candidate,output/pdf/A-106-ceiling-device-candidate.pdf,厨房火灾探测点位已确认；感温/感烟/复合与产品由消防/设备方确认。燃气公司咨询模板及最终附件/回填清单已就绪，所有报警器型号仍为咨询候选，未获批准。 旧稿厨房木饰面拼板、卫浴／阳台木条拼缝隐藏检修、反灯槽型材、200 mm 客厅窗帘盒和酒架上方加固方向已吸收；材料防火防潮、基层、五金、检修路线、窗饰／灯光／风口协调及加固计算待项目节点。 旧稿厨房木饰面拼板、卫浴／阳台木条拼缝隐藏检修、反灯槽型材、200 mm 客厅窗帘盒和酒架上方加固方向已吸收。窗饰同步采用公共区 Luminette K5-501、卧室 Silhouette N31-204、厨卫 25 mm 灰黑铝百叶方向；夜帘为 LightLock 优先与 Duolite 对照，未终选或下单。完成面复尺、分幅、轨道、收拢、电源、色卡、报价和安装图待逐窗关闭。
M-401,空调、通风及安全设备协调图,,candidate,drawings/M-401-hvac-safety-coordination-candidate.svg,A01/A04 为开发商既有 RPIZ-22FSLN5QD/P；A02/A03 为既有 RPIZ-22FSLN5QDF/P，正式 IFC 镜像关系正确；A05 现场铭牌为 RPIZ-71FSLN5QD/P；A06 施工开放遮挡后再绑定铭牌。华美 Class 1 现场观察到 6×15、10×15、13×9、13×15、16×9、16×15、16×20、20×15、25×15、32×9、32×15 mm 的 ID×TK 规格；这些是既有现场观察，不是最终设计厚度。项目须按珠海露点、管温、导热系数、防火和逐段管径计算，分列裸管外径、保温壁厚和完成外径，再由日立／安装方按图复核。回风口兼检修口，冷凝水路线和管箍标高由项目出图、竣工验收。说明书未给的接口中心继续不猜。
I-501,厨房平面、立面及剖面,Furniture Plan,candidate,output/pdf/I-501-kitchen-existing-candidate.pdf,70 个既有对象协调包络入图；APP-009/010 两台未采购 SJ85ZX26MC 候选的官方柜孔、G3/4 冷水与 Ø38 排水约束已作为 2 条无定位接口表项入图，不生成粗装 XYZ、阀门、软管路径或开孔位置；EL-03 视图 06～09 及 EL-P01/P02 公共空间折线展开和贯穿长立面已写入正式 IFC 的 Bonsai 原生 Drawing；新增 1:30 无纹理 SVG 与手机 PNG；其余厂家安装图、燃气实测和五金运动包络未关闭；中厨墙面更新为灶台操作墙台面同材大板＋远端墙浅置物架，准确墙段、材料、加工和架后背衬待深化；最终需输出材质化正投影厨房产品页 本轮确认无 trolley、无悬挂式 VVD hood；油烟机整合 Sistema 7 四门玻璃墙柜，GlobalId 1C2NYt_qT35P4jTGTCHJyh 按玻璃门柜协调；SAN-022 为 600 mm Travertino titan marble 石材盆并采用盆下抽拉垃圾／海绵收纳。两台 SJ85ZX26MC 保持相邻布局研究候选；所有项目接口由 09 表加工图关闭。 旧稿顶天立地酒架上方约 1300 mm 范围的加固意图已登记；最终按酒架自重、满载、顶部固定和吊顶体系出联合节点，不得只靠饰面板。 旧稿酒架上方约 1300 mm 加固意图已登记；最终按自重、满载、顶部固定和吊顶体系出联合节点。已购惠人 H70FT 确认存放于岛台下，应画正面取放直立格／全拉出托盘、承重、防污垫和湿附件通风；八项已购工具按 K-D01 长工具、K-D02 Coravin、K-D03 锅具／锅盖、K-D04 HARIO 易碎器具画抽屉及摆样，不交给橱柜方重新分配。
I-502,卫生间平面、立面及节点,Sanitary Plan,candidate,output/pdf/I-502-bathroom-existing-candidate.pdf,33 个既有对象协调包络入图；EL-06 视图 18～22 与 EL-08 视图 27～32 已写入正式 IFC；原 9 个深层 BRep、公共空间新增 2 个对象及全量重编发现的 BED02 现均有纯折线 ELEVATION_VIEW，详细 Body 未替换；洁具粗装图、五金运动包络和节点未关闭；厕所定制地漏渠道与水母地漏/中央集水器＋托克乐思网＋线性排水渠方向已确认，准确房间、数量和 shop drawing 待商家；最终需输出材质化正投影卫生间产品页
